eval,fitness,chem,dyn
1,0.989219,1.000000,0.973048
2,0.999601,1.000000,0.999003
3,0.993165,1.000000,0.982911
4,0.997199,1.000000,0.992996
5,0.705197,0.520000,0.982992
6,0.998514,1.000000,0.996284
7,0.852364,1.000000,0.630911
8,0.975891,1.000000,0.939727
9,0.687031,0.520000,0.937578
10,0.554337,0.259259,0.996954
11,0.999460,1.000000,0.998649
12,0.709107,0.520000,0.992767
13,0.993593,1.000000,0.983983
14,0.703036,0.520000,0.977590
15,0.911740,1.000000,0.779349
16,0.973911,1.000000,0.934778
17,0.604557,0.520000,0.731393
18,0.993265,1.000000,0.983164
19,0.999775,1.000000,0.999437
20,0.999391,1.000000,0.998477
21,0.906279,1.000000,0.765697
22,0.913128,1.000000,0.782821
23,0.998419,1.000000,0.996046
24,0.994721,1.000000,0.986803
25,0.689478,0.520000,0.943694
26,0.555230,0.259259,0.999187
27,0.997020,1.000000,0.992550
28,0.935326,1.000000,0.838315
29,0.990663,1.000000,0.976657
30,0.900020,1.000000,0.750049
31,0.999548,1.000000,0.998869
32,0.999531,1.000000,0.998828
33,0.895152,1.000000,0.737880
34,0.546359,0.259259,0.977009
35,0.954606,1.000000,0.886516
36,0.908685,1.000000,0.771712
37,0.972591,1.000000,0.931478
38,0.990537,1.000000,0.976343
39,0.895831,1.000000,0.739576
40,0.967931,1.000000,0.919829
41,0.928243,1.000000,0.820608
42,0.999007,1.000000,0.997519
43,0.674084,0.464286,0.988782
44,0.547952,0.259259,0.980992
45,0.609678,0.520000,0.744195
46,0.711276,0.520000,0.998191
47,0.855959,1.000000,0.639897
48,0.999884,1.000000,0.999711
49,0.993744,1.000000,0.984359
50,0.998878,1.000000,0.997194
51,0.911872,1.000000,0.779679
52,0.908704,1.000000,0.771760
53,0.890837,1.000000,0.727092
54,0.999643,1.000000,0.999106
55,0.904227,1.000000,0.760567
56,0.562300,0.520000,0.625750
57,0.990926,1.000000,0.977315
58,0.890497,1.000000,0.726242
59,0.990962,1.000000,0.977404
60,0.999536,1.000000,0.998839
61,0.842461,1.000000,0.606153
62,0.485258,0.259259,0.824256
63,0.999358,1.000000,0.998395
64,0.999456,1.000000,0.998640
65,0.998689,1.000000,0.996723
66,0.998049,1.000000,0.995122
67,0.989674,1.000000,0.974184
68,0.999820,1.000000,0.999551
69,0.998564,1.000000,0.996410
70,0.985218,1.000000,0.963046
71,0.996011,1.000000,0.990027
72,0.913801,1.000000,0.784503
73,0.999542,1.000000,0.998854
74,0.903261,1.000000,0.758153
75,0.552944,0.259259,0.993471
76,0.999304,1.000000,0.998259
77,0.999856,1.000000,0.999639
78,0.999787,1.000000,0.999467
79,0.555176,0.259259,0.999052
80,0.997858,1.000000,0.994645
81,0.996436,1.000000,0.991091
82,0.711361,0.520000,0.998402
83,0.899777,1.000000,0.749443
84,0.992896,1.000000,0.982240
85,0.948129,1.000000,0.870323
86,0.987097,1.000000,0.967742
87,0.678293,0.464286,0.999303
88,0.991096,1.000000,0.977739
89,0.996920,1.000000,0.992301
90,0.899537,1.000000,0.748842
91,0.997366,1.000000,0.993415
92,0.902501,1.000000,0.756252
93,0.531762,0.259259,0.940515
94,0.997956,1.000000,0.994891
95,0.999312,1.000000,0.998279
96,0.999302,1.000000,0.998255
97,0.991633,1.000000,0.979081
98,0.999109,1.000000,0.997773
99,0.969218,1.000000,0.923045
100,0.999267,1.000000,0.998167
101,0.905271,1.000000,0.763178
102,0.994683,1.000000,0.986708
103,0.998177,1.000000,0.995442
104,0.903743,1.000000,0.759356
105,0.899190,1.000000,0.747975
106,0.995132,1.000000,0.987831
107,0.999525,1.000000,0.998813
108,0.999061,1.000000,0.997653
109,0.546519,0.259259,0.977408
110,0.999557,1.000000,0.998893
111,0.997355,1.000000,0.993389
112,0.999200,1.000000,0.998001
113,0.707617,0.520000,0.989042
