eval,fitness,chem,dyn
1,0.998837,1.000000,0.997093
2,0.926158,1.000000,0.815395
3,0.711907,0.520000,0.999767
4,0.801869,0.680000,0.984672
5,0.482195,0.259259,0.816599
6,0.777725,0.629630,0.999869
7,0.999723,1.000000,0.999308
8,0.676816,0.520000,0.912039
9,0.705948,0.520000,0.984871
10,0.707933,0.520000,0.989833
11,0.663974,0.448276,0.987522
12,0.550230,0.259259,0.986686
13,0.603739,0.520000,0.729349
14,0.553530,0.259259,0.994937
15,0.665161,0.448276,0.990489
16,0.551766,0.259259,0.990527
17,0.699547,0.520000,0.968868
18,0.551107,0.259259,0.988879
19,0.999188,1.000000,0.997969
20,0.554088,0.259259,0.996331
21,0.550719,0.259259,0.987909
22,0.989415,1.000000,0.973537
23,0.538945,0.259259,0.958474
24,0.743078,0.629630,0.913250
25,0.550617,0.259259,0.987653
26,0.799060,0.680000,0.977650
27,0.430406,0.259259,0.687126
28,0.998423,1.000000,0.996057
29,0.759424,0.680000,0.878559
30,0.612871,0.520000,0.752177
31,0.555330,0.259259,0.999436
32,0.571303,0.448276,0.755844
33,0.554843,0.259259,0.998218
34,0.426689,0.259259,0.677834
35,0.645345,0.520000,0.833361
36,0.807462,0.680000,0.998655
37,0.550337,0.259259,0.986953
38,0.468492,0.259259,0.782340
39,0.711719,0.520000,0.999297
40,0.554147,0.259259,0.996480
41,0.534061,0.259259,0.946263
42,0.604562,0.520000,0.731406
43,0.555344,0.259259,0.999472
44,0.416903,0.259259,0.653369
45,0.555411,0.259259,0.999638
46,0.710632,0.520000,0.996581
47,0.595369,0.520000,0.708421
48,0.984585,1.000000,0.961461
49,0.979525,1.000000,0.948813
50,0.807395,0.680000,0.998488
51,0.933408,1.000000,0.833520
52,0.994570,1.000000,0.986426
53,0.610583,0.520000,0.746456
54,0.550704,0.259259,0.987871
55,0.710637,0.520000,0.996592
56,0.999843,1.000000,0.999607
57,0.489266,0.259259,0.834277
58,0.480199,0.259259,0.811609
59,0.711859,0.520000,0.999648
60,0.664317,0.448276,0.988378
61,0.548974,0.259259,0.983545
62,0.524992,0.259259,0.923592
63,0.644305,0.520000,0.830761
64,0.554981,0.259259,0.998565
65,0.993606,1.000000,0.984015
66,0.711310,0.520000,0.998276
67,0.527202,0.448276,0.645592
68,0.964363,1.000000,0.910908
69,0.551933,0.259259,0.990943
70,0.711829,0.520000,0.999573
71,0.481428,0.259259,0.814680
72,0.552165,0.259259,0.991524
73,0.552678,0.259259,0.992806
74,0.776217,0.629630,0.996098
75,0.655239,0.520000,0.858099
76,0.506816,0.259259,0.878151
77,0.999328,1.000000,0.998319
78,0.555143,0.259259,0.998969
79,0.706255,0.629630,0.821193
80,0.711495,0.520000,0.998738
81,0.554759,0.259259,0.998008
82,0.654857,0.520000,0.857142
83,0.776768,0.629630,0.997474
84,0.555079,0.259259,0.998809
85,0.464839,0.259259,0.773208
86,0.676090,0.520000,0.910226
87,0.552448,0.259259,0.992231
88,0.544384,0.259259,0.972070
89,0.457308,0.259259,0.754381
90,0.706258,0.520000,0.985645
91,0.999543,1.000000,0.998856
92,0.999742,1.000000,0.999356
93,0.463248,0.259259,0.769231
94,0.469886,0.259259,0.785825
95,0.666472,0.448276,0.993767
96,0.711244,0.520000,0.998110
97,0.553326,0.259259,0.994426
98,0.995459,1.000000,0.988648
99,0.991403,1.000000,0.978506
100,0.999649,1.000000,0.999122
101,0.711709,0.520000,0.999274
102,0.473925,0.259259,0.795923
103,0.615236,0.520000,0.758090
104,0.800008,0.680000,0.980020
105,0.626458,0.520000,0.786145
106,0.828663,0.733333,0.971656
107,0.616522,0.464286,0.844876
108,0.547164,0.259259,0.979020
109,0.663809,0.629630,0.715079
110,0.674686,0.520000,0.906716
111,0.636247,0.448276,0.918205
112,0.555057,0.259259,0.998755
113,0.668602,0.448276,0.999092
114,0.777050,0.629630,0.998180
115,0.547791,0.259259,0.980588
116,0.711413,0.520000,0.998532
117,0.549706,0.520000,0.594264
118,0.710997,0.520000,0.997493
119,0.999762,1.000000,0.999406
120,0.677508,0.464286,0.997341
121,0.491361,0.259259,0.839514
122,0.678161,0.464286,0.998973
123,0.554803,0.259259,0.998118
124,0.472193,0.259259,0.791594
125,0.523883,0.259259,0.920818
