eval,fitness,chem,dyn
1,0.662597,0.520000,0.876492
2,0.707546,0.520000,0.988865
3,0.553923,0.259259,0.995919
4,0.709961,0.520000,0.994902
5,0.709219,0.520000,0.993048
6,0.711074,0.520000,0.997684
7,0.777437,0.629630,0.999149
8,0.954987,1.000000,0.887468
9,0.695441,0.520000,0.958601
10,0.999566,1.000000,0.998916
11,0.458458,0.259259,0.757256
12,0.807731,0.680000,0.999327
13,0.708630,0.520000,0.991575
14,0.327290,0.259259,0.429337
15,0.705220,0.629630,0.818606
16,0.512114,0.259259,0.891395
17,0.742086,0.733333,0.755216
18,0.776894,0.629630,0.997791
19,0.999843,1.000000,0.999607
20,0.973106,1.000000,0.932765
21,0.711048,0.520000,0.997621
22,0.620500,0.520000,0.771251
23,0.641900,0.520000,0.824749
24,0.804907,0.680000,0.992268
25,0.711277,0.520000,0.998194
26,0.555291,0.259259,0.999340
27,0.553599,0.259259,0.995108
28,0.711426,0.520000,0.998565
29,0.667559,0.448276,0.996483
30,0.542680,0.464286,0.660273
31,0.991189,1.000000,0.977972
32,0.554867,0.259259,0.998278
33,0.496745,0.259259,0.852975
34,0.539136,0.259259,0.958950
35,0.554290,0.259259,0.996837
36,0.642832,0.520000,0.827079
37,0.707494,0.520000,0.988735
38,0.549749,0.259259,0.985485
39,0.647108,0.520000,0.837771
40,0.543170,0.259259,0.969036
41,0.545188,0.259259,0.974080
42,0.710806,0.520000,0.997016
43,0.563016,0.520000,0.627539
44,0.554620,0.259259,0.997661
45,0.710588,0.520000,0.996469
46,0.711878,0.520000,0.999696
47,0.555036,0.259259,0.998701
48,0.709356,0.520000,0.993391
49,0.675456,0.464286,0.992212
50,0.636129,0.520000,0.810322
51,0.778386,0.680000,0.925965
52,0.711868,0.520000,0.999670
53,0.554102,0.259259,0.996366
54,0.711720,0.520000,0.999300
55,0.623178,0.520000,0.777946
56,0.830924,1.000000,0.577311
57,0.807033,0.680000,0.997583
58,0.798880,0.680000,0.977200
59,0.555418,0.259259,0.999656
60,0.995214,1.000000,0.988036
61,0.703845,0.520000,0.979611
62,0.711108,0.520000,0.997770
63,0.532399,0.259259,0.942108
64,0.541530,0.259259,0.964935
65,0.695795,0.520000,0.959487
