eval,fitness,chem,dyn
1,0.999710,1.000000,0.999275
2,0.995000,1.000000,0.987500
3,0.997144,1.000000,0.992861
4,0.999700,1.000000,0.999249
5,0.994243,1.000000,0.985607
6,0.998187,1.000000,0.995467
7,0.659927,0.448276,0.977404
8,0.998810,1.000000,0.997025
9,0.900991,1.000000,0.752479
10,0.461776,0.259259,0.765552
11,0.711656,0.520000,0.999140
12,0.711774,0.520000,0.999436
13,0.555362,0.259259,0.999516
14,0.554124,0.259259,0.996422
15,0.553130,0.259259,0.993937
16,0.998626,1.000000,0.996566
17,0.997394,1.000000,0.993486
18,0.998718,1.000000,0.996796
19,0.957352,1.000000,0.893380
20,0.621133,0.520000,0.772833
21,0.899367,1.000000,0.748419
22,0.998396,1.000000,0.995990
23,0.998916,1.000000,0.997291
24,0.991399,1.000000,0.978498
25,0.991235,1.000000,0.978087
26,0.888344,1.000000,0.720859
27,0.711115,0.520000,0.997788
28,0.997445,1.000000,0.993612
29,0.999256,1.000000,0.998140
30,0.999015,1.000000,0.997538
31,0.942794,1.000000,0.856986
32,0.458517,0.259259,0.757405
33,0.998523,1.000000,0.996307
34,0.999409,1.000000,0.998522
35,0.996916,1.000000,0.992289
36,0.999770,1.000000,0.999425
37,0.711321,0.520000,0.998303
38,0.999700,1.000000,0.999249
39,0.999509,1.000000,0.998772
40,0.960286,1.000000,0.900715
41,0.999479,1.000000,0.998698
42,0.567775,0.448276,0.747025
43,0.890253,1.000000,0.725633
44,0.554691,0.259259,0.997840
45,0.994923,1.000000,0.987307
46,0.999836,1.000000,0.999589
47,0.998938,1.000000,0.997345
48,0.994748,1.000000,0.986871
49,0.472019,0.259259,0.791159
50,0.999287,1.000000,0.998217
51,0.999927,1.000000,0.999818
52,0.680257,0.520000,0.920643
53,0.989449,1.000000,0.973622
54,0.909505,1.000000,0.773763
55,0.705252,0.520000,0.983131
56,0.950294,1.000000,0.875735
57,0.999694,1.000000,0.999236
58,0.861500,1.000000,0.653750
59,0.995524,1.000000,0.988809
60,0.967563,1.000000,0.918907
61,0.999875,1.000000,0.999689
62,0.996465,1.000000,0.991162
63,0.901365,1.000000,0.753412
64,0.998514,1.000000,0.996284
65,0.997774,1.000000,0.994435
66,0.900271,1.000000,0.750678
67,0.988318,1.000000,0.970795
68,0.990010,1.000000,0.975025
69,0.871300,1.000000,0.678249
70,0.895191,1.000000,0.737978
71,0.542302,0.520000,0.575754
72,0.542841,0.259259,0.968214
73,0.555302,0.259259,0.999365
74,0.553868,0.259259,0.995782
75,0.992074,1.000000,0.980186
76,0.999138,1.000000,0.997846
77,0.999711,1.000000,0.999278
78,0.711563,0.520000,0.998908
79,0.996921,1.000000,0.992303
80,0.999602,1.000000,0.999005
81,0.711460,0.520000,0.998649
82,0.995023,1.000000,0.987559
83,0.550183,0.259259,0.986569
84,0.554772,0.259259,0.998041
85,0.552265,0.259259,0.991773
86,0.999482,1.000000,0.998706
87,0.995045,1.000000,0.987613
88,0.999735,1.000000,0.999339
89,0.554751,0.259259,0.997989
90,0.981575,1.000000,0.953938
91,0.979845,1.000000,0.949613
92,0.913541,1.000000,0.783854
93,0.999302,1.000000,0.998255
94,0.999550,1.000000,0.998874
95,0.998115,1.000000,0.995288
96,0.711311,0.520000,0.998278
97,0.640639,0.520000,0.821597
98,0.998891,1.000000,0.997227
99,0.554784,0.259259,0.998071
100,0.999663,1.000000,0.999157
101,0.913437,1.000000,0.783593
102,0.513603,0.448276,0.611594
103,0.553337,0.259259,0.994453
104,0.997878,1.000000,0.994695
105,0.886750,1.000000,0.716874
106,0.907545,1.000000,0.768862
107,0.999577,1.000000,0.998943
108,0.899075,1.000000,0.747688
109,0.999472,1.000000,0.998680
110,0.998718,1.000000,0.996796
111,0.999150,1.000000,0.997875
112,0.860481,1.000000,0.651201
113,0.999518,1.000000,0.998796
114,0.999852,1.000000,0.999629
115,0.962255,1.000000,0.905637
116,0.589089,0.448276,0.800308
117,0.913548,1.000000,0.783871
118,0.999135,1.000000,0.997837
119,0.549968,0.259259,0.986030
120,0.974138,1.000000,0.935344
121,0.674815,0.464286,0.990608
122,0.710716,0.520000,0.996791
123,0.904055,1.000000,0.760139
124,0.995879,1.000000,0.989698
125,0.555485,0.259259,0.999824
126,0.999261,1.000000,0.998154
127,0.997705,1.000000,0.994262
128,0.998174,1.000000,0.995436
129,0.957198,1.000000,0.892994
130,0.907886,1.000000,0.769715
131,0.569328,0.448276,0.750907
132,0.999575,1.000000,0.998937
133,0.999131,1.000000,0.997827
134,0.914718,1.000000,0.786796
135,0.925343,1.000000,0.813357
136,0.898288,1.000000,0.745721
137,0.998928,1.000000,0.997321
138,0.989776,1.000000,0.974441
139,0.994259,1.000000,0.985647
140,0.674128,0.464286,0.988892
141,0.709639,0.520000,0.994097
142,0.924785,1.000000,0.811963
143,0.999483,1.000000,0.998707
144,0.553376,0.259259,0.994551
145,0.998271,1.000000,0.995677
146,0.911831,1.000000,0.779578
147,0.998873,1.000000,0.997182
148,0.994356,1.000000,0.985891
149,0.962205,1.000000,0.905514
150,0.999021,1.000000,0.997553
151,0.999848,1.000000,0.999621
