eval,fitness,chem,dyn
1,0.552333,0.259259,0.991944
2,0.708228,0.520000,0.990571
3,0.411733,0.520000,0.249332
4,0.555340,0.259259,0.999461
5,0.807394,0.680000,0.998484
6,0.553286,0.259259,0.994325
7,0.989484,1.000000,0.973711
8,0.999215,1.000000,0.998038
9,0.807392,0.680000,0.998480
10,0.710257,0.520000,0.995643
11,0.954347,1.000000,0.885868
12,0.774796,0.629630,0.992545
13,0.552565,0.259259,0.992523
14,0.637945,0.680000,0.574863
15,0.707799,0.520000,0.989496
16,0.555003,0.259259,0.998619
17,0.993590,1.000000,0.983975
18,0.923731,1.000000,0.809327
19,0.807016,0.680000,0.997540
20,0.515604,0.259259,0.900122
21,0.777700,0.629630,0.999805
22,0.678058,0.464286,0.998718
23,0.688610,0.680000,0.701524
24,0.479718,0.259259,0.810406
25,0.622418,0.520000,0.776045
26,0.526319,0.259259,0.926908
27,0.554761,0.259259,0.998015
28,0.617579,0.520000,0.763947
29,0.705774,0.520000,0.984435
30,0.555534,0.259259,0.999946
31,0.806961,0.680000,0.997403
32,0.673889,0.464286,0.988295
33,0.444602,0.259259,0.722616
34,0.954350,1.000000,0.885874
35,0.710991,0.520000,0.997477
36,0.987685,1.000000,0.969213
37,0.548635,0.259259,0.982699
38,0.773123,0.629630,0.988364
39,0.555328,0.259259,0.999431
40,0.709222,0.520000,0.993054
41,0.705564,0.520000,0.983911
42,0.711641,0.520000,0.999102
43,0.806072,0.680000,0.995180
44,0.704692,0.520000,0.981729
45,0.555131,0.259259,0.998939
46,0.897498,1.000000,0.743745
47,0.653640,0.448276,0.961685
48,0.990088,1.000000,0.975219
49,0.540958,0.259259,0.963505
50,0.709691,0.520000,0.994227
51,0.646122,0.520000,0.835304
52,0.500993,0.259259,0.863594
53,0.711404,0.520000,0.998511
54,0.710062,0.520000,0.995155
55,0.835617,0.733333,0.989043
56,0.554544,0.259259,0.997471
57,0.689141,0.680000,0.702852
58,0.711417,0.520000,0.998542
59,0.465951,0.259259,0.775990
60,0.572918,0.520000,0.652296
61,0.640818,0.520000,0.822045
62,0.553515,0.259259,0.994899
63,0.837514,0.733333,0.993786
64,0.642211,0.520000,0.825528
65,0.709361,0.520000,0.993403
66,0.710854,0.520000,0.997136
67,0.554500,0.259259,0.997362
68,0.490202,0.259259,0.836617
69,0.462926,0.259259,0.768427
70,0.711493,0.520000,0.998732
71,0.668816,0.448276,0.999627
72,0.697383,0.520000,0.963457
73,0.667093,0.464286,0.971303
74,0.794154,0.733333,0.885385
75,0.736818,0.733333,0.742045
76,0.554839,0.259259,0.998210
77,0.497870,0.259259,0.855786
78,0.480865,0.259259,0.813274
79,0.711546,0.520000,0.998864
80,0.695932,0.520000,0.959831
81,0.543154,0.259259,0.968996
82,0.550475,0.259259,0.987297
83,0.705480,0.520000,0.983700
84,0.554831,0.259259,0.998189
85,0.553709,0.259259,0.995385
86,0.708833,0.520000,0.992083
87,0.555399,0.259259,0.999607
88,0.776852,0.629630,0.997686
89,0.552332,0.259259,0.991940
90,0.776934,0.629630,0.997890
91,0.675027,0.464286,0.991139
92,0.532286,0.259259,0.941827
93,0.545991,0.259259,0.976090
94,0.487116,0.259259,0.828901
95,0.616311,0.464286,0.844349
96,0.611469,0.520000,0.748671
97,0.743384,0.680000,0.838459
98,0.538843,0.520000,0.567107
99,0.706553,0.520000,0.986382
100,0.592504,0.448276,0.808845
101,0.710175,0.520000,0.995437
102,0.443473,0.259259,0.719792
103,0.346952,0.259259,0.478490
104,0.999088,1.000000,0.997719
105,0.937010,1.000000,0.842524
106,0.470969,0.259259,0.788533
107,0.545423,0.259259,0.974668
108,0.449837,0.259259,0.735704
109,0.552469,0.259259,0.992284
110,0.411478,0.259259,0.639806
111,0.999165,1.000000,0.997913
112,0.740005,0.680000,0.830013
113,0.550247,0.259259,0.986729
114,0.545096,0.259259,0.973850
115,0.714834,0.733333,0.687084
116,0.767862,0.733333,0.819654
117,0.455108,0.259259,0.748881
118,0.555402,0.259259,0.999616
119,0.473815,0.259259,0.795648
120,0.550178,0.259259,0.986556
121,0.697214,0.629630,0.798591
122,0.996439,1.000000,0.991098
123,0.766639,0.680000,0.896597
124,0.980179,1.000000,0.950446
125,0.588707,0.520000,0.691769
126,0.668441,0.448276,0.998689
127,0.999443,1.000000,0.998608
128,0.706281,0.520000,0.985702
129,0.993638,1.000000,0.984094
130,0.711567,0.520000,0.998918
131,0.704139,0.520000,0.980347
132,0.777108,0.629630,0.998325
133,0.774788,0.629630,0.992526
134,0.476978,0.259259,0.803556
135,0.994715,1.000000,0.986789
136,0.400926,0.259259,0.613427
137,0.676835,0.464286,0.995660
138,0.551192,0.259259,0.989092
139,0.677082,0.464286,0.996277
140,0.711373,0.520000,0.998433
141,0.555229,0.259259,0.999184
142,0.989303,1.000000,0.973257
143,0.708861,0.520000,0.992152
144,0.806546,0.680000,0.996366
145,0.543571,0.259259,0.970040
146,0.548707,0.259259,0.982879
147,0.534925,0.259259,0.948425
148,0.650169,0.520000,0.845422
149,0.491512,0.259259,0.839891
150,0.487598,0.259259,0.830106
151,0.470136,0.259259,0.786451
152,0.453280,0.259259,0.744311
153,0.468117,0.259259,0.781404
154,0.490969,0.259259,0.838534
155,0.769733,0.680000,0.904334
156,0.998747,1.000000,0.996867
157,0.999580,1.000000,0.998950
158,0.999910,1.000000,0.999775
159,0.555182,0.259259,0.999066
160,0.710331,0.520000,0.995827
161,0.461561,0.259259,0.765015
162,0.806005,0.680000,0.995014
163,0.993718,1.000000,0.984295
164,0.642567,0.520000,0.826418
165,0.643042,0.520000,0.827606
166,0.644997,0.520000,0.832492
167,0.555392,0.259259,0.999591
168,0.999335,1.000000,0.998337
169,0.710304,0.520000,0.995760
170,0.711194,0.520000,0.997985
171,0.552849,0.259259,0.993234
172,0.551673,0.259259,0.990293
173,0.601959,0.520000,0.724898
174,0.792891,0.680000,0.962227
175,0.630844,0.629630,0.632665
176,0.554554,0.259259,0.997497
177,0.711056,0.520000,0.997639
178,0.555527,0.259259,0.999928
179,0.707641,0.520000,0.989102
180,0.551565,0.259259,0.990024
181,0.551848,0.259259,0.990731
182,0.991789,1.000000,0.979472
183,0.982286,1.000000,0.955715
184,0.711788,0.520000,0.999469
185,0.804135,0.680000,0.990337
186,0.938060,1.000000,0.845150
187,0.692777,0.520000,0.951943
188,0.775971,0.629630,0.995482
189,0.711173,0.520000,0.997932
190,0.695965,0.520000,0.959913
191,0.398674,0.259259,0.607795
192,0.999419,1.000000,0.998548
193,0.554918,0.259259,0.998406
194,0.998617,1.000000,0.996544
195,0.765097,0.733333,0.812743
196,0.708946,0.520000,0.992364
197,0.799369,0.680000,0.978423
198,0.708616,0.520000,0.991540
199,0.704523,0.520000,0.981307
200,0.998309,1.000000,0.995773
201,0.544497,0.259259,0.972354
202,0.711055,0.520000,0.997639
203,0.934865,1.000000,0.837162
204,0.998380,1.000000,0.995950
205,0.973723,1.000000,0.934308
206,0.517662,0.259259,0.905267
207,0.643438,0.520000,0.828596
208,0.999746,1.000000,0.999365
209,0.555330,0.259259,0.999435
210,0.546279,0.259259,0.976809
211,0.807595,0.680000,0.998989
212,0.616464,0.520000,0.761161
213,0.997749,1.000000,0.994373
214,0.710375,0.520000,0.995936
215,0.654846,0.448276,0.964701
216,0.705846,0.520000,0.984616
217,0.668367,0.448276,0.998505
218,0.622833,0.520000,0.777083
219,0.673295,0.680000,0.663238
220,0.546816,0.259259,0.978150
221,0.909538,1.000000,0.773844
222,0.772807,0.629630,0.987573
223,0.711652,0.520000,0.999130
224,0.484999,0.259259,0.823609
225,0.999598,1.000000,0.998996
226,0.603489,0.520000,0.728722
227,0.708785,0.520000,0.991962
228,0.474997,0.259259,0.798604
229,0.546558,0.259259,0.977506
230,0.804941,0.680000,0.992353
231,0.868359,1.000000,0.670899
232,0.708847,0.520000,0.992118
233,0.547876,0.259259,0.980800
234,0.634134,0.520000,0.805336
235,0.711510,0.520000,0.998775
236,0.554744,0.259259,0.997972
237,0.711059,0.520000,0.997648
238,0.914158,1.000000,0.785395
239,0.710756,0.520000,0.996891
240,0.552854,0.259259,0.993246
241,0.998856,1.000000,0.997140
242,0.999746,1.000000,0.999365
243,0.995233,1.000000,0.988083
244,0.805612,0.680000,0.994029
245,0.899692,1.000000,0.749230
246,0.999657,1.000000,0.999142
247,0.710942,0.520000,0.997354
248,0.645752,0.448276,0.941966
249,0.906793,1.000000,0.766982
250,0.710961,0.520000,0.997402
251,0.555277,0.259259,0.999305
252,0.997895,1.000000,0.994737
253,0.804803,0.680000,0.992007
254,0.711674,0.520000,0.999186
255,0.709387,0.520000,0.993467
256,0.553269,0.259259,0.994284
257,0.857224,1.000000,0.643061
258,0.555019,0.259259,0.998658
259,0.446728,0.259259,0.727930
260,0.531174,0.259259,0.939047
261,0.642932,0.629630,0.662886
262,0.280949,0.259259,0.313484
263,0.552384,0.259259,0.992071
264,0.485701,0.259259,0.825363
265,0.555452,0.259259,0.999741
266,0.564702,0.520000,0.631755
267,0.553704,0.259259,0.995371
268,0.797657,0.680000,0.974144
269,0.555545,0.259259,0.999973
270,0.711400,0.520000,0.998500
271,0.806901,0.680000,0.997252
272,0.807960,0.680000,0.999901
273,0.710361,0.520000,0.995903
274,0.997277,1.000000,0.993193
275,0.554413,0.259259,0.997144
276,0.554128,0.259259,0.996431
277,0.544295,0.259259,0.971848
278,0.646794,0.520000,0.836984
279,0.991473,1.000000,0.978683
280,0.783819,0.680000,0.939548
281,0.555054,0.259259,0.998747
282,0.553031,0.259259,0.993688
283,0.709347,0.520000,0.993368
284,0.595513,0.520000,0.708784
285,0.996609,1.000000,0.991523
286,0.873497,1.000000,0.683744
287,0.805841,0.680000,0.994601
288,0.454921,0.259259,0.748415
289,0.549649,0.259259,0.985235
290,0.555271,0.259259,0.999288
291,0.806314,0.680000,0.995786
292,0.550217,0.259259,0.986654
293,0.989515,1.000000,0.973788
294,0.711699,0.520000,0.999249
295,0.590856,0.520000,0.697140
296,0.996519,1.000000,0.991298
297,0.668764,0.448276,0.999496
298,0.709833,0.520000,0.994583
299,0.489314,0.259259,0.834397
300,0.517082,0.259259,0.903816
301,0.706873,0.520000,0.987183
302,0.554786,0.259259,0.998075
303,0.998036,1.000000,0.995090
304,0.554535,0.259259,0.997449
305,0.553234,0.464286,0.686656
306,0.662738,0.520000,0.876845
307,0.600576,0.520000,0.721440
308,0.971957,1.000000,0.929892
309,0.675544,0.520000,0.908860
310,0.530106,0.259259,0.936377
311,0.710436,0.520000,0.996091
312,0.555047,0.259259,0.998728
313,0.554287,0.259259,0.996830
314,0.700314,0.520000,0.970785
315,0.554580,0.259259,0.997562
316,0.592196,0.464286,0.784063
317,0.804638,0.680000,0.991596
318,0.709928,0.520000,0.994820
319,0.431682,0.259259,0.690316
320,0.996185,1.000000,0.990463
321,0.640679,0.520000,0.821697
322,0.711582,0.520000,0.998955
323,0.421188,0.259259,0.664080
324,0.676096,0.520000,0.910239
325,0.482801,0.259259,0.818115
326,0.433276,0.259259,0.694301
327,0.777016,0.629630,0.998097
328,0.709483,0.520000,0.993707
329,0.605142,0.464286,0.816426
330,0.937308,1.000000,0.843269
331,0.434753,0.259259,0.697994
332,0.999822,1.000000,0.999555
333,0.593175,0.464286,0.786510
334,0.663432,0.448276,0.986165
335,0.709723,0.520000,0.994308
336,0.550688,0.259259,0.987831
337,0.489179,0.259259,0.834058
338,0.555231,0.259259,0.999188
339,0.677417,0.464286,0.997114
340,0.551214,0.259259,0.989145
341,0.772191,0.629630,0.986033
342,0.550263,0.259259,0.986768
343,0.807086,0.680000,0.997714
344,0.705013,0.520000,0.982533
345,0.554528,0.259259,0.997432
346,0.664868,0.629630,0.717726
347,0.560452,0.464286,0.704700
348,0.710607,0.520000,0.996518
349,0.665066,0.520000,0.882666
350,0.555202,0.259259,0.999115
351,0.800137,0.680000,0.980343
352,0.483832,0.259259,0.820692
353,0.618666,0.520000,0.766665
354,0.993555,1.000000,0.983887
355,0.709455,0.520000,0.993637
356,0.621656,0.464286,0.857713
357,0.999704,1.000000,0.999259
358,0.664265,0.629630,0.716217
359,0.996897,1.000000,0.992242
360,0.551341,0.259259,0.989463
361,0.711442,0.520000,0.998606
362,0.711616,0.520000,0.999039
363,0.999273,1.000000,0.998183
364,0.711515,0.520000,0.998787
365,0.711690,0.520000,0.999225
366,0.486832,0.259259,0.828190
367,0.705909,0.520000,0.984773
368,0.467876,0.259259,0.780802
369,0.692823,0.520000,0.952058
370,0.931311,1.000000,0.828279
371,0.544506,0.259259,0.972377
372,0.554260,0.259259,0.996761
373,0.510046,0.259259,0.886227
374,0.640005,0.520000,0.820012
375,0.710907,0.520000,0.997268
376,0.806837,0.680000,0.997092
377,0.554889,0.259259,0.998334
378,0.708816,0.520000,0.992041
379,0.704434,0.680000,0.741086
380,0.671425,0.464286,0.982133
381,0.711871,0.520000,0.999677
382,0.555355,0.259259,0.999498
383,0.711525,0.520000,0.998812
384,0.553987,0.259259,0.996077
385,0.711771,0.520000,0.999427
386,0.699377,0.520000,0.968443
387,0.994264,1.000000,0.985661
388,0.552907,0.259259,0.993380
389,0.711162,0.520000,0.997904
390,0.571321,0.448276,0.755890
391,0.554313,0.259259,0.996893
392,0.703608,0.520000,0.979020
393,0.807041,0.680000,0.997603
394,0.663107,0.448276,0.985354
395,0.555482,0.259259,0.999815
396,0.554675,0.259259,0.997798
397,0.553657,0.259259,0.995253
398,0.534950,0.259259,0.948487
399,0.910399,1.000000,0.775997
400,0.709825,0.520000,0.994562
401,0.994059,1.000000,0.985148
402,0.711293,0.520000,0.998233
403,0.999828,1.000000,0.999570
404,0.999450,1.000000,0.998626
405,0.698698,0.629630,0.802300
406,0.673440,0.464286,0.987172
407,0.552512,0.259259,0.992391
408,0.518109,0.259259,0.906384
409,0.711916,0.520000,0.999790
410,0.711670,0.520000,0.999174
411,0.524363,0.259259,0.922019
412,0.985208,1.000000,0.963020
413,0.886063,1.000000,0.715157
414,0.838336,0.733333,0.995840
415,0.550456,0.259259,0.987250
416,0.625744,0.520000,0.784360
417,0.871503,1.000000,0.678758
418,0.656838,0.520000,0.862094
419,0.498079,0.259259,0.856309
420,0.438536,0.259259,0.707450
421,0.696848,0.520000,0.962119
422,0.555091,0.259259,0.998840
