eval,fitness,chem,dyn
1,0.997651,1.000000,0.994127
2,0.711510,0.520000,0.998775
3,0.991357,1.000000,0.978394
4,0.928840,1.000000,0.822100
5,0.993394,1.000000,0.983485
6,0.873084,1.000000,0.682709
7,0.999756,1.000000,0.999391
8,0.999326,1.000000,0.998314
9,0.654253,0.520000,0.855633
10,0.555265,0.259259,0.999274
11,0.904582,1.000000,0.761455
12,0.998989,1.000000,0.997474
13,0.711649,0.520000,0.999123
14,0.985688,1.000000,0.964221
15,0.984766,1.000000,0.961915
16,0.528500,0.259259,0.932361
17,0.996358,1.000000,0.990896
18,0.999800,1.000000,0.999500
19,0.711838,0.520000,0.999594
20,0.900670,1.000000,0.751675
21,0.994655,1.000000,0.986638
22,0.549245,0.464286,0.676685
23,0.905556,1.000000,0.763889
24,0.555461,0.259259,0.999764
25,0.909268,1.000000,0.773169
26,0.976165,1.000000,0.940413
27,0.901561,1.000000,0.753903
28,0.898622,1.000000,0.746555
29,0.976138,1.000000,0.940345
30,0.823444,1.000000,0.558610
31,0.999792,1.000000,0.999480
32,0.898100,1.000000,0.745250
33,0.995561,1.000000,0.988902
34,0.899903,1.000000,0.749757
35,0.899859,1.000000,0.749649
36,0.997841,1.000000,0.994601
37,0.533421,0.259259,0.944664
38,0.902214,1.000000,0.755536
39,0.914209,1.000000,0.785523
40,0.996895,1.000000,0.992237
41,0.998405,1.000000,0.996012
42,0.997443,1.000000,0.993608
43,0.999854,1.000000,0.999636
44,0.668630,0.448276,0.999160
45,0.999907,1.000000,0.999767
46,0.918340,1.000000,0.795849
47,0.999082,1.000000,0.997706
48,0.554325,0.259259,0.996924
49,0.905135,1.000000,0.762838
50,0.554896,0.259259,0.998352
51,0.999805,1.000000,0.999512
52,0.593709,0.520000,0.704272
53,0.999147,1.000000,0.997869
54,0.904156,1.000000,0.760389
55,0.997403,1.000000,0.993509
56,0.961875,1.000000,0.904688
57,0.899972,1.000000,0.749930
58,0.999921,1.000000,0.999802
59,0.997006,1.000000,0.992514
60,0.993033,1.000000,0.982583
61,0.997694,1.000000,0.994234
62,0.995793,1.000000,0.989483
63,0.999832,1.000000,0.999580
64,0.997514,1.000000,0.993784
65,0.997822,1.000000,0.994555
66,0.999510,1.000000,0.998776
67,0.909502,1.000000,0.773755
68,0.903050,1.000000,0.757625
69,0.897119,1.000000,0.742798
70,0.711744,0.520000,0.999359
71,0.999353,1.000000,0.998383
72,0.551702,0.259259,0.990366
73,0.998650,1.000000,0.996626
74,0.998677,1.000000,0.996692
75,0.551601,0.259259,0.990115
76,0.900578,1.000000,0.751444
77,0.899258,1.000000,0.748144
78,0.999419,1.000000,0.998548
79,0.554251,0.259259,0.996739
80,0.999078,1.000000,0.997694
81,0.906623,1.000000,0.766557
82,0.999758,1.000000,0.999395
83,0.999599,1.000000,0.998997
84,0.906930,1.000000,0.767325
85,0.998024,1.000000,0.995060
86,0.999462,1.000000,0.998655
87,0.547844,0.259259,0.980722
88,0.615576,0.520000,0.758941
89,0.555261,0.259259,0.999264
90,0.901740,1.000000,0.754350
91,0.984083,1.000000,0.960209
92,0.999838,1.000000,0.999594
93,0.999695,1.000000,0.999237
94,0.995477,1.000000,0.988694
