eval,fitness,chem,dyn
1,0.530430,0.259259,0.937187
2,0.711930,0.520000,0.999826
3,0.772860,0.629630,0.987706
4,0.597444,0.520000,0.713609
5,0.697378,0.520000,0.963444
6,0.711364,0.520000,0.998411
7,0.707158,0.520000,0.987896
8,0.472630,0.259259,0.792686
9,0.613154,0.520000,0.752884
10,0.711775,0.520000,0.999437
11,0.702699,0.733333,0.656748
12,0.553716,0.259259,0.995401
13,0.686011,0.520000,0.935027
14,0.551448,0.259259,0.989732
15,0.989014,1.000000,0.972536
16,0.711631,0.520000,0.999076
17,0.450708,0.259259,0.737880
18,0.525637,0.259259,0.925204
19,0.981195,1.000000,0.952987
20,0.714940,0.733333,0.687350
21,0.625637,0.520000,0.784093
22,0.995513,1.000000,0.988782
23,0.627568,0.520000,0.788920
24,0.670639,0.629630,0.732152
25,0.703334,0.520000,0.978336
26,0.648525,0.520000,0.841312
27,0.917228,1.000000,0.793070
28,0.443495,0.259259,0.719850
29,0.694180,0.520000,0.955449
30,0.663802,0.448276,0.987091
31,0.533998,0.464286,0.638567
32,0.555083,0.259259,0.998818
33,0.999730,1.000000,0.999324
34,0.692628,0.520000,0.951569
35,0.709965,0.520000,0.994913
36,0.996860,1.000000,0.992149
37,0.996871,1.000000,0.992177
38,0.553384,0.259259,0.994571
39,0.555064,0.259259,0.998771
40,0.807228,0.680000,0.998069
41,0.709133,0.520000,0.992833
42,0.482827,0.259259,0.818178
43,0.644826,0.520000,0.832064
44,0.705757,0.520000,0.984392
45,0.674336,0.464286,0.989412
46,0.553006,0.259259,0.993625
47,0.540988,0.259259,0.963582
48,0.548173,0.259259,0.981543
49,0.711712,0.520000,0.999280
50,0.684171,0.520000,0.930428
51,0.639921,0.520000,0.819803
52,0.554158,0.259259,0.996505
53,0.590636,0.520000,0.696590
54,0.711572,0.520000,0.998930
55,0.703893,0.520000,0.979733
56,0.553242,0.259259,0.994217
57,0.775455,0.629630,0.994192
58,0.708289,0.520000,0.990722
59,0.806294,0.680000,0.995735
60,0.699683,0.520000,0.969208
61,0.675993,0.464286,0.993555
62,0.676251,0.464286,0.994199
63,0.550571,0.259259,0.987539
64,0.656049,0.464286,0.943694
65,0.711341,0.520000,0.998352
66,0.721030,0.733333,0.702576
67,0.677163,0.520000,0.912907
68,0.807309,0.680000,0.998272
69,0.753906,0.733333,0.784765
70,0.612841,0.520000,0.752102
71,0.711589,0.520000,0.998972
72,0.627326,0.520000,0.788316
73,0.456180,0.259259,0.751562
74,0.679027,0.680000,0.677568
75,0.834936,0.733333,0.987341
76,0.554238,0.259259,0.996707
77,0.767697,0.629630,0.974797
78,0.538467,0.259259,0.957278
79,0.997215,1.000000,0.993038
80,0.549889,0.259259,0.985833
81,0.999879,1.000000,0.999697
82,0.667962,0.448276,0.997491
83,0.994719,1.000000,0.986798
84,0.931918,1.000000,0.829794
85,0.539583,0.259259,0.960067
86,0.668679,0.448276,0.999283
87,0.598655,0.448276,0.824224
88,0.554174,0.259259,0.996547
89,0.678524,0.464286,0.999881
90,0.999837,1.000000,0.999592
91,0.777183,0.629630,0.998514
92,0.554398,0.259259,0.997106
93,0.777530,0.629630,0.999380
94,0.557834,0.464286,0.698155
95,0.662545,0.448276,0.983949
96,0.709043,0.520000,0.992608
97,0.711119,0.520000,0.997797
98,0.610346,0.464286,0.829437
99,0.707489,0.520000,0.988723
100,0.608864,0.520000,0.742160
101,0.755176,0.629630,0.943494
102,0.642341,0.520000,0.825852
103,0.801313,0.680000,0.983283
104,0.667922,0.448276,0.997392
105,0.484705,0.259259,0.822875
106,0.554112,0.259259,0.996391
107,0.806199,0.680000,0.995497
108,0.776840,0.629630,0.997657
109,0.603628,0.520000,0.729069
110,0.535748,0.520000,0.559370
111,0.549474,0.259259,0.984795
112,0.961337,1.000000,0.903342
113,0.772171,0.629630,0.985983
114,0.548436,0.259259,0.982200
115,0.548299,0.259259,0.981858
116,0.989163,1.000000,0.972907
117,0.548561,0.259259,0.982513
118,0.806667,0.680000,0.996667
119,0.803422,0.680000,0.988555
120,0.711884,0.520000,0.999709
121,0.548652,0.259259,0.982742
122,0.667416,0.448276,0.996125
123,0.999542,1.000000,0.998855
124,0.637013,0.448276,0.920118
125,0.704437,0.520000,0.981092
126,0.767877,0.629630,0.975248
127,0.807826,0.680000,0.999565
128,0.740370,0.680000,0.830924
129,0.553037,0.259259,0.993705
130,0.662073,0.464286,0.958753
131,0.455088,0.259259,0.748832
132,0.708900,0.629630,0.827805
133,0.663153,0.629630,0.713437
134,0.552608,0.259259,0.992630
135,0.999649,1.000000,0.999122
136,0.627354,0.448276,0.895972
137,0.548023,0.259259,0.981168
138,0.711419,0.520000,0.998548
139,0.709335,0.520000,0.993338
