eval,fitness,chem,dyn
1,0.555336,0.259259,0.999452
2,0.487157,0.259259,0.829002
3,0.775390,0.629630,0.994031
4,0.999114,1.000000,0.997784
5,0.674767,0.520000,0.906919
6,0.554410,0.259259,0.997135
7,0.593259,0.520000,0.703148
8,0.995941,1.000000,0.989853
9,0.914105,1.000000,0.785262
10,0.459933,0.259259,0.760943
11,0.553881,0.259259,0.995814
12,0.798386,0.680000,0.975966
13,0.555096,0.259259,0.998851
14,0.997250,1.000000,0.993125
15,0.562799,0.448276,0.734583
16,0.711586,0.520000,0.998964
17,0.806581,0.680000,0.996454
18,0.998659,1.000000,0.996647
19,0.777402,0.629630,0.999060
20,0.554584,0.259259,0.997570
21,0.644730,0.520000,0.831825
22,0.965093,1.000000,0.912733
23,0.709929,0.520000,0.994821
24,0.709962,0.520000,0.994905
25,0.641526,0.520000,0.823815
26,0.991858,1.000000,0.979645
27,0.621948,0.448276,0.882456
28,0.701752,0.520000,0.974380
29,0.706747,0.629630,0.822423
30,0.710573,0.520000,0.996432
31,0.487252,0.259259,0.829240
32,0.672913,0.629630,0.737838
33,0.694114,0.680000,0.715286
34,0.666568,0.448276,0.994007
35,0.711990,0.520000,0.999974
36,0.704493,0.520000,0.981234
37,0.554488,0.259259,0.997332
38,0.550484,0.520000,0.596211
39,0.554950,0.259259,0.998487
40,0.554775,0.259259,0.998049
41,0.711921,0.520000,0.999802
42,0.710765,0.520000,0.996912
43,0.480712,0.259259,0.812890
44,0.962955,1.000000,0.907388
45,0.665221,0.448276,0.990638
46,0.709544,0.520000,0.993861
47,0.554481,0.259259,0.997314
48,0.545094,0.259259,0.973846
49,0.555425,0.259259,0.999674
50,0.492649,0.259259,0.842733
51,0.710197,0.733333,0.675492
52,0.705716,0.520000,0.984289
53,0.839706,0.733333,0.999265
54,0.773044,0.629630,0.988167
55,0.706266,0.520000,0.985665
56,0.991205,1.000000,0.978012
57,0.711906,0.520000,0.999764
58,0.991600,1.000000,0.979001
59,0.454530,0.259259,0.747436
60,0.454305,0.259259,0.746873
61,0.745596,0.680000,0.843989
62,0.711685,0.520000,0.999213
63,0.506178,0.259259,0.876556
64,0.505437,0.259259,0.874704
65,0.488431,0.259259,0.832189
66,0.549832,0.259259,0.985690
67,0.485974,0.259259,0.826045
68,0.709677,0.520000,0.994194
69,0.999310,1.000000,0.998274
70,0.797093,0.680000,0.972733
71,0.710805,0.520000,0.997011
72,0.991512,1.000000,0.978779
73,0.739710,0.680000,0.829275
74,0.462003,0.259259,0.766118
75,0.914019,1.000000,0.785048
76,0.554840,0.259259,0.998210
77,0.555214,0.259259,0.999147
78,0.711727,0.520000,0.999317
79,0.711409,0.520000,0.998524
80,0.999106,1.000000,0.997765
81,0.711038,0.520000,0.997595
82,0.711284,0.520000,0.998211
83,0.451162,0.259259,0.739016
84,0.648894,0.520000,0.842235
85,0.707616,0.520000,0.989041
86,0.710873,0.520000,0.997183
87,0.542707,0.259259,0.967879
88,0.761783,0.629630,0.960012
89,0.554959,0.259259,0.998509
90,0.710727,0.520000,0.996817
91,0.996211,1.000000,0.990528
92,0.580700,0.520000,0.671749
93,0.722979,0.629630,0.863002
94,0.549800,0.259259,0.985611
95,0.770659,0.629630,0.982203
96,0.553582,0.259259,0.995066
97,0.995704,1.000000,0.989259
98,0.999209,1.000000,0.998023
99,0.807401,0.680000,0.998503
100,0.709439,0.520000,0.993599
101,0.648856,0.520000,0.842140
102,0.454297,0.259259,0.746854
103,0.807942,0.680000,0.999855
104,0.555460,0.259259,0.999760
105,0.676650,0.464286,0.995197
106,0.914380,1.000000,0.785949
107,0.675984,0.464286,0.993531
108,0.638272,0.520000,0.815680
109,0.771576,0.629630,0.984496
110,0.999685,1.000000,0.999212
111,0.555344,0.259259,0.999472
112,0.708578,0.520000,0.991445
113,0.708775,0.520000,0.991937
114,0.535053,0.259259,0.948744
115,0.554915,0.259259,0.998398
116,0.999854,1.000000,0.999634
