eval,fitness,chem,dyn
1,0.633116,0.520000,0.802791
2,0.832703,1.000000,0.581757
3,0.946116,1.000000,0.865291
4,0.555396,0.259259,0.999601
5,0.703839,0.520000,0.979597
6,0.999934,1.000000,0.999835
7,0.553082,0.259259,0.993817
8,0.903633,1.000000,0.759083
9,0.960987,1.000000,0.902469
10,0.902361,1.000000,0.755903
11,0.995415,1.000000,0.988536
12,0.895621,1.000000,0.739054
13,0.949144,1.000000,0.872860
14,0.917357,1.000000,0.793392
15,0.868026,1.000000,0.670065
16,0.552974,0.259259,0.993546
17,0.711811,0.520000,0.999528
18,0.999877,1.000000,0.999694
19,0.905768,1.000000,0.764421
20,0.999029,1.000000,0.997573
21,0.997962,1.000000,0.994904
22,0.960759,1.000000,0.901897
23,0.677361,0.464286,0.996974
24,0.998368,1.000000,0.995920
25,0.996497,1.000000,0.991242
26,0.915830,1.000000,0.789575
27,0.540632,0.259259,0.962691
28,0.999484,1.000000,0.998710
29,0.940960,1.000000,0.852399
30,0.998965,1.000000,0.997412
31,0.997522,1.000000,0.993805
32,0.996162,1.000000,0.990405
33,0.906328,1.000000,0.765819
34,0.986823,1.000000,0.967058
35,0.554084,0.259259,0.996322
36,0.548964,0.259259,0.983522
37,0.895136,1.000000,0.737839
38,0.998802,1.000000,0.997005
39,0.999700,1.000000,0.999251
40,0.964114,1.000000,0.910284
41,0.550928,0.259259,0.988431
42,0.981760,1.000000,0.954400
43,0.999683,1.000000,0.999208
44,0.551350,0.259259,0.989485
45,0.982782,1.000000,0.956955
46,0.997340,1.000000,0.993351
47,0.998805,1.000000,0.997013
48,0.999178,1.000000,0.997945
49,0.711793,0.520000,0.999483
50,0.905668,1.000000,0.764169
51,0.999812,1.000000,0.999531
52,0.998655,1.000000,0.996638
53,0.665364,0.448276,0.990995
54,0.999883,1.000000,0.999708
55,0.993230,1.000000,0.983076
56,0.612109,0.520000,0.750272
57,0.554687,0.259259,0.997829
58,0.999443,1.000000,0.998608
59,0.904891,1.000000,0.762228
60,0.999842,1.000000,0.999606
61,0.999864,1.000000,0.999660
62,0.992711,1.000000,0.981778
63,0.554460,0.259259,0.997262
64,0.708680,0.520000,0.991700
65,0.999543,1.000000,0.998858
66,0.997051,1.000000,0.992626
67,0.707562,0.520000,0.988906
68,0.994743,1.000000,0.986858
69,0.549888,0.259259,0.985832
70,0.577184,0.464286,0.746532
71,0.990345,1.000000,0.975862
72,0.998646,1.000000,0.996616
73,0.904870,1.000000,0.762174
74,0.581828,0.464286,0.758140
75,0.999544,1.000000,0.998861
76,0.984817,1.000000,0.962042
77,0.998128,1.000000,0.995320
78,0.999278,1.000000,0.998196
79,0.708725,0.520000,0.991811
80,0.996923,1.000000,0.992308
81,0.711480,0.520000,0.998700
82,0.890587,1.000000,0.726467
83,0.999583,1.000000,0.998959
