eval,fitness,chem,dyn
1,0.776502,0.629630,0.996810
2,0.935203,1.000000,0.838007
3,0.711012,0.520000,0.997531
4,0.676462,0.520000,0.911154
5,0.688517,0.680000,0.701293
6,0.643283,0.520000,0.828206
7,0.476029,0.259259,0.801184
8,0.708413,0.520000,0.991034
9,0.577064,0.464286,0.746232
10,0.554959,0.259259,0.998510
11,0.635464,0.520000,0.808661
12,0.711835,0.520000,0.999587
13,0.622454,0.520000,0.776136
14,0.552498,0.259259,0.992355
15,0.709728,0.520000,0.994320
16,0.624767,0.520000,0.781916
17,0.806368,0.680000,0.995921
18,0.929663,1.000000,0.824158
19,0.906202,1.000000,0.765505
20,0.750187,0.680000,0.855467
21,0.764385,0.680000,0.890962
22,0.551277,0.259259,0.989304
23,0.600391,0.448276,0.828564
24,0.775673,0.629630,0.994737
25,0.708033,0.520000,0.990081
26,0.998678,1.000000,0.996694
27,0.776772,0.629630,0.997486
28,0.553211,0.259259,0.994137
29,0.601142,0.448276,0.830441
30,0.668391,0.448276,0.998564
31,0.697973,0.520000,0.964934
32,0.709115,0.520000,0.992788
33,0.554436,0.259259,0.997201
34,0.553894,0.259259,0.995847
35,0.677456,0.464286,0.997213
36,0.555438,0.259259,0.999706
37,0.999738,1.000000,0.999344
38,0.803589,0.680000,0.988973
39,0.444611,0.259259,0.722640
40,0.721740,0.629630,0.859906
41,0.998763,1.000000,0.996908
42,0.776327,0.629630,0.996373
43,0.771426,0.629630,0.984119
44,0.708847,0.520000,0.992119
45,0.631478,0.520000,0.798695
46,0.537180,0.259259,0.954060
47,0.715222,0.629630,0.843611
48,0.440230,0.259259,0.711686
49,0.555151,0.259259,0.998989
50,0.449653,0.259259,0.735243
51,0.736381,0.733333,0.740952
52,0.997845,1.000000,0.994613
53,0.555191,0.259259,0.999090
54,0.572553,0.520000,0.651383
55,0.542176,0.259259,0.966550
56,0.677004,0.464286,0.996081
57,0.999948,1.000000,0.999869
58,0.537448,0.259259,0.954732
59,0.806318,0.680000,0.995794
60,0.709418,0.520000,0.993544
61,0.999610,1.000000,0.999025
62,0.549606,0.259259,0.985125
63,0.775762,0.629630,0.994961
64,0.551724,0.259259,0.990421
65,0.479938,0.259259,0.810957
