eval,fitness,chem,dyn
1,0.710824,0.520000,0.997059
2,0.999615,1.000000,0.999036
3,0.996740,1.000000,0.991851
4,0.999351,1.000000,0.998376
5,0.995715,1.000000,0.989288
6,0.834550,1.000000,0.586374
7,0.925670,1.000000,0.814174
8,0.953440,1.000000,0.883600
9,0.980202,1.000000,0.950505
10,0.465269,0.259259,0.774283
11,0.999973,1.000000,0.999933
12,0.996755,1.000000,0.991886
13,0.566228,0.520000,0.635571
14,0.993290,1.000000,0.983225
15,0.999866,1.000000,0.999664
16,0.947385,1.000000,0.868463
17,0.571615,0.448276,0.756623
18,0.998607,1.000000,0.996518
19,0.898573,1.000000,0.746433
20,0.999895,1.000000,0.999737
21,0.552100,0.259259,0.991361
22,0.993260,1.000000,0.983151
23,0.703408,0.520000,0.978521
24,0.998534,1.000000,0.996334
25,0.970932,1.000000,0.927330
26,0.710101,0.520000,0.995253
27,0.914357,1.000000,0.785893
28,0.999755,1.000000,0.999386
29,0.985922,1.000000,0.964804
30,0.999842,1.000000,0.999606
31,0.964261,1.000000,0.910652
32,0.539728,0.259259,0.960432
33,0.964194,1.000000,0.910486
34,0.993298,1.000000,0.983245
35,0.995144,1.000000,0.987859
36,0.999134,1.000000,0.997836
37,0.467529,0.259259,0.779933
38,0.913355,1.000000,0.783388
39,0.913277,1.000000,0.783193
40,0.893215,1.000000,0.733038
41,0.989122,1.000000,0.972804
42,0.708001,0.520000,0.990002
43,0.894058,1.000000,0.735145
44,0.901198,1.000000,0.752994
45,0.999830,1.000000,0.999576
46,0.567687,0.520000,0.639217
47,0.998782,1.000000,0.996954
48,0.959177,1.000000,0.897943
49,0.997540,1.000000,0.993849
50,0.999550,1.000000,0.998874
51,0.912767,1.000000,0.781917
52,0.885132,1.000000,0.712831
53,0.983045,1.000000,0.957613
54,0.989104,1.000000,0.972761
55,0.999533,1.000000,0.998833
56,0.994875,1.000000,0.987186
57,0.984491,1.000000,0.961228
58,0.980025,1.000000,0.950062
59,0.998983,1.000000,0.997457
60,0.999898,1.000000,0.999746
61,0.913585,1.000000,0.783963
62,0.950258,1.000000,0.875646
63,0.554970,0.259259,0.998537
64,0.999917,1.000000,0.999792
65,0.999612,1.000000,0.999029
66,0.554932,0.259259,0.998440
67,0.999949,1.000000,0.999872
68,0.904859,1.000000,0.762147
69,0.554970,0.259259,0.998537
70,0.993838,1.000000,0.984594
71,0.999732,1.000000,0.999330
72,0.999686,1.000000,0.999216
73,0.997795,1.000000,0.994488
74,0.914667,1.000000,0.786668
75,0.710245,0.520000,0.995613
76,0.993956,1.000000,0.984890
77,0.997855,1.000000,0.994638
78,0.711762,0.520000,0.999406
79,0.912164,1.000000,0.780410
80,0.999329,1.000000,0.998322
81,0.999515,1.000000,0.998787
82,0.870865,1.000000,0.677163
83,0.977949,1.000000,0.944872
84,0.995161,1.000000,0.987903
85,0.555251,0.259259,0.999238
86,0.971676,1.000000,0.929189
87,0.986581,1.000000,0.966453
88,0.997984,1.000000,0.994959
89,0.985868,1.000000,0.964671
90,0.996784,1.000000,0.991961
91,0.999786,1.000000,0.999465
92,0.999630,1.000000,0.999074
93,0.467703,0.259259,0.780369
94,0.995882,1.000000,0.989704
95,0.996460,1.000000,0.991149
96,0.999107,1.000000,0.997767
97,0.999752,1.000000,0.999379
98,0.993306,1.000000,0.983266
99,0.878782,1.000000,0.696955
100,0.997971,1.000000,0.994928
101,0.999588,1.000000,0.998971
102,0.996839,1.000000,0.992098
103,0.996032,1.000000,0.990081
104,0.998211,1.000000,0.995527
105,0.913187,1.000000,0.782968
106,0.905991,1.000000,0.764976
107,0.486529,0.259259,0.827433
108,0.999625,1.000000,0.999064
109,0.631323,0.520000,0.798307
110,0.913060,1.000000,0.782649
111,0.978345,1.000000,0.945863
112,0.991741,1.000000,0.979353
113,0.993744,1.000000,0.984359
114,0.555448,0.259259,0.999731
115,0.578617,0.448276,0.774129
116,0.998258,1.000000,0.995645
117,0.981386,1.000000,0.953466
118,0.901434,1.000000,0.753586
119,0.555385,0.259259,0.999575
120,0.871609,1.000000,0.679022
121,0.998442,1.000000,0.996104
122,0.999953,1.000000,0.999883
123,0.710394,0.520000,0.995984
124,0.553510,0.259259,0.994886
125,0.999749,1.000000,0.999371
126,0.988729,1.000000,0.971822
127,0.998581,1.000000,0.996453
128,0.550310,0.259259,0.986885
129,0.895759,1.000000,0.739399
130,0.997168,1.000000,0.992920
131,0.999308,1.000000,0.998269
132,0.998840,1.000000,0.997100
133,0.998443,1.000000,0.996109
