eval,fitness,chem,dyn
1,0.931505,1.000000,0.828764
2,0.710524,0.520000,0.996309
3,0.996652,1.000000,0.991631
4,0.958514,1.000000,0.896286
5,0.998727,1.000000,0.996817
6,0.696886,0.520000,0.962215
7,0.998862,1.000000,0.997156
8,0.994897,1.000000,0.987243
9,0.995737,1.000000,0.989342
10,0.999891,1.000000,0.999728
11,0.998769,1.000000,0.996922
12,0.999880,1.000000,0.999700
13,0.999697,1.000000,0.999243
14,0.467962,0.259259,0.781016
15,0.968677,1.000000,0.921693
16,0.911352,1.000000,0.778380
17,0.979055,1.000000,0.947637
18,0.711586,0.520000,0.998964
19,0.999700,1.000000,0.999249
20,0.997541,1.000000,0.993854
21,0.859285,1.000000,0.648214
22,0.455251,0.259259,0.749238
23,0.555361,0.259259,0.999513
24,0.711637,0.520000,0.999094
25,0.711036,0.520000,0.997591
26,0.999638,1.000000,0.999095
27,0.821467,1.000000,0.553667
28,0.710357,0.520000,0.995893
29,0.992330,1.000000,0.980825
30,0.606741,0.520000,0.736852
31,0.486688,0.259259,0.827831
32,0.898041,1.000000,0.745102
33,0.912759,1.000000,0.781898
34,0.998955,1.000000,0.997388
35,0.998365,1.000000,0.995912
36,0.912278,1.000000,0.780695
37,0.999875,1.000000,0.999688
38,0.999013,1.000000,0.997533
39,0.955276,1.000000,0.888191
40,0.994939,1.000000,0.987348
41,0.999036,1.000000,0.997589
42,0.998592,1.000000,0.996481
43,0.891700,1.000000,0.729250
44,0.998957,1.000000,0.997393
45,0.912887,1.000000,0.782219
46,0.548326,0.259259,0.981926
47,0.996459,1.000000,0.991148
48,0.467698,0.259259,0.780357
49,0.999339,1.000000,0.998348
50,0.900553,1.000000,0.751383
51,0.999783,1.000000,0.999458
52,0.999946,1.000000,0.999866
53,0.998530,1.000000,0.996326
54,0.991874,1.000000,0.979686
55,0.711451,0.520000,0.998627
56,0.999535,1.000000,0.998837
57,0.678102,0.464286,0.998826
58,0.555027,0.259259,0.998678
59,0.849272,1.000000,0.623180
60,0.997017,1.000000,0.992544
61,0.991819,1.000000,0.979547
62,0.998385,1.000000,0.995964
63,0.555173,0.259259,0.999044
64,0.999640,1.000000,0.999100
65,0.470311,0.259259,0.786889
66,0.681873,0.520000,0.924683
67,0.983580,1.000000,0.958950
68,0.553575,0.259259,0.995049
69,0.998587,1.000000,0.996469
70,0.967541,1.000000,0.918852
71,0.911571,1.000000,0.778927
72,0.905601,1.000000,0.764001
73,0.704230,0.520000,0.980576
74,0.702369,0.520000,0.975923
75,0.996450,1.000000,0.991124
76,0.999429,1.000000,0.998573
77,0.913089,1.000000,0.782721
78,0.997804,1.000000,0.994510
79,0.885097,1.000000,0.712742
80,0.988452,1.000000,0.971130
81,0.445230,0.259259,0.724187
82,0.900979,1.000000,0.752448
83,0.998081,1.000000,0.995203
84,0.999802,1.000000,0.999505
85,0.884308,1.000000,0.710769
86,0.995781,1.000000,0.989453
87,0.554544,0.259259,0.997472
88,0.995084,1.000000,0.987710
89,0.998459,1.000000,0.996148
90,0.904601,1.000000,0.761503
91,0.999920,1.000000,0.999799
92,0.907081,1.000000,0.767702
93,0.999410,1.000000,0.998524
94,0.999341,1.000000,0.998352
95,0.709022,0.520000,0.992555
96,0.912464,1.000000,0.781160
97,0.998802,1.000000,0.997005
98,0.908592,1.000000,0.771480
99,0.903636,1.000000,0.759090
100,0.972359,1.000000,0.930897
101,0.958598,1.000000,0.896494
102,0.656432,0.448276,0.968667
103,0.999679,1.000000,0.999196
104,0.998062,1.000000,0.995155
105,0.454361,0.259259,0.747013
106,0.620795,0.520000,0.771986
107,0.666829,0.448276,0.994657
108,0.999476,1.000000,0.998689
109,0.674362,0.464286,0.989476
110,0.899232,1.000000,0.748081
111,0.899560,1.000000,0.748900
112,0.905271,1.000000,0.763179
113,0.999033,1.000000,0.997583
114,0.999778,1.000000,0.999444
115,0.550390,0.259259,0.987087
116,0.999046,1.000000,0.997614
117,0.998264,1.000000,0.995660
118,0.707340,0.520000,0.988350
119,0.997835,1.000000,0.994587
120,0.991855,1.000000,0.979637
121,0.995333,1.000000,0.988332
122,0.675513,0.464286,0.992354
123,0.999163,1.000000,0.997908
124,0.710386,0.520000,0.995966
125,0.979309,1.000000,0.948274
126,0.999933,1.000000,0.999831
127,0.984988,1.000000,0.962469
128,0.555357,0.259259,0.999503
129,0.976006,1.000000,0.940016
130,0.993253,1.000000,0.983133
131,0.549208,0.259259,0.984131
132,0.999328,1.000000,0.998320
133,0.990628,1.000000,0.976570
134,0.995091,1.000000,0.987727
135,0.999883,1.000000,0.999709
136,0.998745,1.000000,0.996863
137,0.999914,1.000000,0.999784
138,0.467633,0.259259,0.780195
139,0.997503,1.000000,0.993758
140,0.993197,1.000000,0.982991
141,0.984738,1.000000,0.961846
142,0.989976,1.000000,0.974939
143,0.969087,1.000000,0.922717
144,0.999638,1.000000,0.999094
145,0.841607,1.000000,0.604017
146,0.946948,1.000000,0.867370
147,0.980942,1.000000,0.952356
148,0.997121,1.000000,0.992802
149,0.998444,1.000000,0.996109
150,0.999928,1.000000,0.999820
151,0.991761,1.000000,0.979404
152,0.892436,1.000000,0.731091
153,0.555330,0.259259,0.999436
154,0.999950,1.000000,0.999876
155,0.913645,1.000000,0.784113
156,0.999696,1.000000,0.999241
157,0.989494,1.000000,0.973736
158,0.984551,1.000000,0.961378
159,0.905565,1.000000,0.763913
160,0.993143,1.000000,0.982858
161,0.999345,1.000000,0.998363
162,0.998087,1.000000,0.995217
163,0.999383,1.000000,0.998458
164,0.711116,0.520000,0.997790
165,0.998585,1.000000,0.996463
166,0.998446,1.000000,0.996114
167,0.984253,1.000000,0.960632
168,0.898997,1.000000,0.747493
169,0.999936,1.000000,0.999841
170,0.999830,1.000000,0.999575
171,0.899879,1.000000,0.749697
172,0.867321,1.000000,0.668303
173,0.998893,1.000000,0.997233
174,0.965260,1.000000,0.913149
175,0.999189,1.000000,0.997973
176,0.999377,1.000000,0.998441
177,0.999719,1.000000,0.999297
178,0.999451,1.000000,0.998628
179,0.859407,1.000000,0.648516
180,0.999618,1.000000,0.999046
181,0.952954,1.000000,0.882384
182,0.618450,0.520000,0.766126
183,0.999891,1.000000,0.999728
184,0.999022,1.000000,0.997556
185,0.997820,1.000000,0.994549
186,0.479081,0.259259,0.808813
187,0.999650,1.000000,0.999125
188,0.907601,1.000000,0.769003
189,0.999566,1.000000,0.998915
190,0.993071,1.000000,0.982677
191,0.999097,1.000000,0.997742
192,0.997772,1.000000,0.994430
193,0.911687,1.000000,0.779219
194,0.555064,0.259259,0.998771
195,0.999404,1.000000,0.998510
196,0.999510,1.000000,0.998776
197,0.999895,1.000000,0.999738
198,0.997414,1.000000,0.993535
199,0.990686,1.000000,0.976715
200,0.992925,1.000000,0.982313
201,0.913752,1.000000,0.784380
202,0.663863,0.520000,0.879656
203,0.961078,1.000000,0.902695
204,0.961119,1.000000,0.902797
205,0.998176,1.000000,0.995440
206,0.999288,1.000000,0.998219
207,0.536289,0.464286,0.644293
208,0.948912,1.000000,0.872281
209,0.999860,1.000000,0.999651
210,0.998462,1.000000,0.996154
211,0.440500,0.259259,0.712360
212,0.914075,1.000000,0.785188
213,0.986578,1.000000,0.966446
214,0.998914,1.000000,0.997285
215,0.998658,1.000000,0.996644
216,0.999769,1.000000,0.999423
217,0.999663,1.000000,0.999157
218,0.999573,1.000000,0.998932
219,0.879840,1.000000,0.699600
220,0.908761,1.000000,0.771902
221,0.912817,1.000000,0.782042
222,0.553989,0.259259,0.996085
223,0.999755,1.000000,0.999388
224,0.997142,1.000000,0.992856
225,0.993756,1.000000,0.984391
226,0.999808,1.000000,0.999519
227,0.997269,1.000000,0.993172
228,0.997240,1.000000,0.993100
229,0.902142,1.000000,0.755355
230,0.999359,1.000000,0.998399
231,0.999257,1.000000,0.998143
