# modelo=quimera_pao4/3_beta_pope5.2
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.556310e+00,7.143231e-01,5.203835e-03
1.561697e+00,7.102055e-01,5.221849e-03
1.567103e+00,7.061116e-01,5.239925e-03
1.572528e+00,7.020412e-01,5.258063e-03
1.577971e+00,6.979942e-01,5.276264e-03
1.583433e+00,6.939704e-01,5.294529e-03
1.588915e+00,6.899698e-01,5.312856e-03
1.594415e+00,6.859922e-01,5.331247e-03
1.599934e+00,6.820374e-01,5.349702e-03
1.605472e+00,6.781054e-01,5.368220e-03
1.611030e+00,6.741960e-01,5.386803e-03
1.616606e+00,6.703090e-01,5.405449e-03
1.622202e+00,6.664444e-01,5.424161e-03
1.627818e+00,6.626019e-01,5.442937e-03
1.633453e+00,6.587816e-01,5.461778e-03
1.639107e+00,6.549832e-01,5.480685e-03
1.644781e+00,6.512067e-01,5.499656e-03
1.650474e+00,6.474519e-01,5.518694e-03
1.656188e+00,6.437186e-01,5.537797e-03
1.661921e+00,6.400068e-01,5.556967e-03
1.667674e+00,6.363163e-01,5.576203e-03
1.673446e+00,6.326471e-01,5.595505e-03
1.679239e+00,6.289989e-01,5.614875e-03
1.685052e+00,6.253717e-01,5.634311e-03
1.690885e+00,6.217654e-01,5.653815e-03
1.696738e+00,6.181798e-01,5.673386e-03
1.702611e+00,6.146148e-01,5.693025e-03
1.708505e+00,6.110702e-01,5.712731e-03
1.714419e+00,6.075461e-01,5.732507e-03
1.720354e+00,6.040422e-01,5.752350e-03
1.726309e+00,6.005584e-01,5.772262e-03
1.732285e+00,5.970947e-01,5.792244e-03
1.738281e+00,5.936509e-01,5.812294e-03
1.744299e+00,5.902269e-01,5.832414e-03
1.750337e+00,5.868225e-01,5.852603e-03
1.756395e+00,5.834378e-01,5.872862e-03
1.762475e+00,5.800724e-01,5.893192e-03
1.768576e+00,5.767265e-01,5.913591e-03
1.774698e+00,5.733997e-01,5.934062e-03
1.780842e+00,5.700921e-01,5.954603e-03
1.787006e+00,5.668035e-01,5.975215e-03
1.793192e+00,5.635338e-01,5.995899e-03
1.799399e+00,5.602829e-01,6.016654e-03
1.805628e+00,5.570506e-01,6.037482e-03
1.811878e+00,5.538370e-01,6.058381e-03
1.818150e+00,5.506418e-01,6.079352e-03
1.824444e+00,5.474650e-01,6.100397e-03
1.830760e+00,5.443065e-01,6.121514e-03
1.837097e+00,5.411661e-01,6.142704e-03
1.843456e+00,5.380437e-01,6.163967e-03
1.849837e+00,5.349393e-01,6.185304e-03
1.856241e+00,5.318528e-01,6.206715e-03
1.862666e+00,5.287840e-01,6.228200e-03
1.869114e+00,5.257328e-01,6.249760e-03
1.875584e+00,5.226992e-01,6.271394e-03
1.882077e+00,5.196830e-01,6.293103e-03
1.888592e+00,5.166842e-01,6.314887e-03
1.895129e+00,5.137026e-01,6.336746e-03
1.901689e+00,5.107381e-01,6.358682e-03
1.908272e+00,5.077907e-01,6.380693e-03
1.914878e+00,5.048602e-01,6.402780e-03
1.921506e+00,5.019466e-01,6.424944e-03
1.928158e+00,4.990497e-01,6.447184e-03
1.934832e+00,4.961694e-01,6.469502e-03
1.941530e+00,4.933058e-01,6.491896e-03
1.948251e+00,4.904585e-01,6.514369e-03
1.954995e+00,4.876277e-01,6.536919e-03
1.961762e+00,4.848131e-01,6.559547e-03
1.968553e+00,4.820147e-01,6.582253e-03
1.975367e+00,4.792324e-01,6.605038e-03
1.982205e+00,4.764661e-01,6.627902e-03
1.989067e+00,4.737157e-01,6.650845e-03
1.995952e+00,4.709811e-01,6.673867e-03
2.002861e+00,4.682622e-01,6.696970e-03
2.009794e+00,4.655590e-01,6.720152e-03
2.016751e+00,4.628713e-01,6.743414e-03
2.023732e+00,4.601990e-01,6.766757e-03
2.030738e+00,4.575421e-01,6.790181e-03
2.037767e+00,4.549005e-01,6.813685e-03
2.044821e+00,4.522741e-01,6.837272e-03
2.051899e+00,4.496628e-01,6.860939e-03
2.059002e+00,4.470665e-01,6.884689e-03
2.066130e+00,4.444851e-01,6.908521e-03
2.073282e+00,4.419185e-01,6.932435e-03
2.080459e+00,4.393667e-01,6.956433e-03
2.087660e+00,4.368296e-01,6.980513e-03
2.094887e+00,4.343071e-01,7.004677e-03
2.102139e+00,4.317990e-01,7.028924e-03
2.109415e+00,4.293054e-01,7.053255e-03
2.116717e+00,4.268262e-01,7.077670e-03
2.124044e+00,4.243611e-01,7.102170e-03
2.131397e+00,4.219103e-01,7.126755e-03
2.138775e+00,4.194735e-01,7.151425e-03
2.146178e+00,4.170508e-01,7.176180e-03
2.153608e+00,4.146420e-01,7.201021e-03
2.161063e+00,4.122470e-01,7.225948e-03
2.168543e+00,4.098658e-01,7.250961e-03
2.176050e+00,4.074983e-01,7.276061e-03
2.183582e+00,4.051444e-01,7.301248e-03
2.191141e+00,4.028040e-01,7.326522e-03
