# modelo=pope_completo_fL_feta
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.005
# eta=1.880301546543e-02
# Re_nominal=200
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.479498560646836e+00,1.880301546543197e-02
1.003461582929995e+00,1.471140949511035e+00,1.886810366279954e-02
1.006935148416371e+00,1.462829605185971e+00,1.893341716836006e-02
1.010420737937741e+00,1.454564283350936e+00,1.899895676203653e-02
1.013918393116299e+00,1.446344740826376e+00,1.906472322645171e-02
1.017428155718318e+00,1.438170735570490e+00,1.913071734693746e-02
1.020950067654649e+00,1.430042026675819e+00,1.919693991154418e-02
1.024484170981219e+00,1.421958374365817e+00,1.926339171105012e-02
1.028030507899538e+00,1.413919539991404e+00,1.933007353897090e-02
1.031589120757197e+00,1.405925286027498e+00,1.939698619156894e-02
1.035160052048379e+00,1.397975376069547e+00,1.946413046786303e-02
1.038743344414362e+00,1.390069574830023e+00,1.953150716963777e-02
1.042339040644032e+00,1.382207648134922e+00,1.959911710145326e-02
1.045947183674393e+00,1.374389362920238e+00,1.966696107065462e-02
1.049567816591076e+00,1.366614487228430e+00,1.973503988738167e-02
1.053200982628860e+00,1.358882790204867e+00,1.980335436457861e-02
1.056846725172182e+00,1.351194042094275e+00,1.987190531800367e-02
1.060505087755659e+00,1.343548014237151e+00,1.994069356623894e-02
1.064176114064607e+00,1.335944479066188e+00,2.000971993070010e-02
1.067859847935561e+00,1.328383210102667e+00,2.007898523564618e-02
1.071556333356802e+00,1.320863981952860e+00,2.014849030818952e-02
1.075265614468877e+00,1.313386570304399e+00,2.021823597830551e-02
1.078987735565133e+00,1.305950751922655e+00,2.028822307884262e-02
1.082722741092240e+00,1.298556304647093e+00,2.035845244553227e-02
1.086470675650722e+00,1.291203007387630e+00,2.042892491699884e-02
1.090231583995494e+00,1.283890640120972e+00,2.049964133476967e-02
1.094005511036394e+00,1.276618983886949e+00,2.057060254328513e-02
1.097792501838718e+00,1.269387820784842e+00,2.064180938990867e-02
1.101592601623760e+00,1.262196933969703e+00,2.071326272493699e-02
1.105405855769349e+00,1.255046107648662e+00,2.078496340161013e-02
1.109232309810396e+00,1.247935127077235e+00,2.085691227612171e-02
1.113072009439435e+00,1.240863778555612e+00,2.092911020762914e-02
1.116925000507166e+00,1.233831849424962e+00,2.100155805826385e-02
1.120791329023006e+00,1.226839128063702e+00,2.107425669314163e-02
1.124671041155638e+00,1.219885403883792e+00,2.114720698037294e-02
1.128564183233562e+00,1.212970467326994e+00,2.122040979107327e-02
1.132470801745647e+00,1.206094109861153e+00,2.129386599937354e-02
1.136390943341687e+00,1.199256123976449e+00,2.136757648243057e-02
1.140324654832960e+00,1.192456303181673e+00,2.144154212043751e-02
1.144271983192782e+00,1.185694442000465e+00,2.151576379663438e-02
1.148232975557073e+00,1.178970335967584e+00,2.159024239731862e-02
1.152207679224919e+00,1.172283781625144e+00,2.166497881185563e-02
1.156196141659133e+00,1.165634576518865e+00,2.173997393268945e-02
1.160198410486826e+00,1.159022519194317e+00,2.181522865535338e-02
1.164214533499974e+00,1.152447409193163e+00,2.189074387848068e-02
1.168244558655990e+00,1.145909047049390e+00,2.196652050381532e-02
1.172288534078293e+00,1.139407234285556e+00,2.204255943622271e-02
1.176346508056887e+00,1.132941773409018e+00,2.211886158370054e-02
1.180418529048936e+00,1.126512467908170e+00,2.219542785738960e-02
1.184504645679341e+00,1.120119122248674e+00,2.227225917158467e-02
1.188604906741324e+00,1.113761541869696e+00,2.234935644374545e-02
1.192719361197008e+00,1.107439533180132e+00,2.242672059450749e-02
1.196848058178002e+00,1.101152903554845e+00,2.250435254769320e-02
1.200991046985989e+00,1.094901461330896e+00,2.258225323032288e-02
1.205148377093312e+00,1.088685015803772e+00,2.266042357262579e-02
1.209320098143569e+00,1.082503377223626e+00,2.273886450805124e-02
1.213506259952203e+00,1.076356356791503e+00,2.281757697327978e-02
1.217706912507095e+00,1.070243766655578e+00,2.289656190823433e-02
1.221922105969167e+00,1.064165419907392e+00,2.297582025609144e-02
1.226151890672973e+00,1.058121130578088e+00,2.305535296329256e-02
1.230396317127308e+00,1.052110713634649e+00,2.313516097955530e-02
1.234655436015804e+00,1.046133984976143e+00,2.321524525788481e-02
