# modelo=quimera_pao4/3_beta_pope5.2
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.001
# eta=5.623413251903e-03
# Re_nominal=1000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000e+00,1.492220e+00,5.623413e-03
1.003462e+00,1.483615e+00,5.642879e-03
1.006935e+00,1.475059e+00,5.662412e-03
1.010421e+00,1.466553e+00,5.682013e-03
1.013918e+00,1.458095e+00,5.701682e-03
1.017428e+00,1.449686e+00,5.721419e-03
1.020950e+00,1.441326e+00,5.741224e-03
1.024484e+00,1.433013e+00,5.761098e-03
1.028031e+00,1.424748e+00,5.781040e-03
1.031589e+00,1.416531e+00,5.801052e-03
1.035160e+00,1.408361e+00,5.821133e-03
1.038743e+00,1.400238e+00,5.841283e-03
1.042339e+00,1.392161e+00,5.861503e-03
1.045947e+00,1.384131e+00,5.881793e-03
1.049568e+00,1.376147e+00,5.902154e-03
1.053201e+00,1.368209e+00,5.922584e-03
1.056847e+00,1.360317e+00,5.943086e-03
1.060505e+00,1.352470e+00,5.963658e-03
1.064176e+00,1.344668e+00,5.984302e-03
1.067860e+00,1.336911e+00,6.005017e-03
1.071556e+00,1.329199e+00,6.025804e-03
1.075266e+00,1.321531e+00,6.046663e-03
1.078988e+00,1.313907e+00,6.067594e-03
1.082723e+00,1.306326e+00,6.088597e-03
1.086471e+00,1.298790e+00,6.109674e-03
1.090232e+00,1.291296e+00,6.130823e-03
1.094006e+00,1.283846e+00,6.152045e-03
1.097793e+00,1.276439e+00,6.173341e-03
1.101593e+00,1.269074e+00,6.194710e-03
1.105406e+00,1.261751e+00,6.216154e-03
1.109232e+00,1.254471e+00,6.237672e-03
1.113072e+00,1.247233e+00,6.259264e-03
1.116925e+00,1.240036e+00,6.280931e-03
1.120791e+00,1.232880e+00,6.302673e-03
1.124671e+00,1.225766e+00,6.324490e-03
1.128564e+00,1.218692e+00,6.346383e-03
1.132471e+00,1.211659e+00,6.368351e-03
1.136391e+00,1.204667e+00,6.390396e-03
1.140325e+00,1.197714e+00,6.412517e-03
1.144272e+00,1.190802e+00,6.434714e-03
1.148233e+00,1.183930e+00,6.456989e-03
1.152208e+00,1.177097e+00,6.479340e-03
1.156196e+00,1.170303e+00,6.501769e-03
1.160198e+00,1.163548e+00,6.524275e-03
1.164215e+00,1.156832e+00,6.546859e-03
1.168245e+00,1.150155e+00,6.569522e-03
1.172289e+00,1.143516e+00,6.592263e-03
1.176347e+00,1.136915e+00,6.615083e-03
1.180419e+00,1.130353e+00,6.637981e-03
1.184505e+00,1.123827e+00,6.660959e-03
1.188605e+00,1.117340e+00,6.684017e-03
1.192719e+00,1.110890e+00,6.707154e-03
1.196848e+00,1.104477e+00,6.730371e-03
1.200991e+00,1.098100e+00,6.753669e-03
1.205148e+00,1.091761e+00,6.777047e-03
1.209320e+00,1.085457e+00,6.800507e-03
1.213506e+00,1.079191e+00,6.824047e-03
1.217707e+00,1.072960e+00,6.847669e-03
1.221922e+00,1.066765e+00,6.871373e-03
1.226152e+00,1.060605e+00,6.895159e-03
1.230396e+00,1.054481e+00,6.919027e-03
1.234655e+00,1.048392e+00,6.942978e-03
1.238929e+00,1.042338e+00,6.967011e-03
1.243218e+00,1.036319e+00,6.991128e-03
1.247521e+00,1.030335e+00,7.015329e-03
1.251840e+00,1.024385e+00,7.039613e-03
1.256173e+00,1.018469e+00,7.063981e-03
1.260522e+00,1.012587e+00,7.088434e-03
1.264885e+00,1.006739e+00,7.112971e-03
1.269263e+00,1.000925e+00,7.137593e-03
1.273657e+00,9.951438e-01,7.162300e-03
1.278066e+00,9.893961e-01,7.187093e-03
1.282490e+00,9.836815e-01,7.211972e-03
1.286930e+00,9.779997e-01,7.236937e-03
1.291384e+00,9.723505e-01,7.261988e-03
1.295855e+00,9.667339e-01,7.287126e-03
1.300340e+00,9.611495e-01,7.312351e-03
1.304842e+00,9.555973e-01,7.337663e-03
1.309358e+00,9.500769e-01,7.363063e-03
1.313891e+00,9.445883e-01,7.388551e-03
1.318439e+00,9.391313e-01,7.414127e-03
1.323003e+00,9.337057e-01,7.439792e-03
1.327583e+00,9.283112e-01,7.465545e-03
1.332178e+00,9.229478e-01,7.491388e-03
1.336790e+00,9.176152e-01,7.517320e-03
