# modelo=pope_completo_fL_feta
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.479502313427492e+00,3.343701524882110e-03
1.003461582929995e+00,1.471144733030014e+00,3.355276025003640e-03
1.006935148416371e+00,1.462833419692579e+00,3.366890591217213e-03
1.010420737937741e+00,1.454568129096500e+00,3.378545362214932e-03
1.013918393116299e+00,1.446348618064257e+00,3.390240477168988e-03
1.017428155718318e+00,1.438174644556100e+00,3.401976075733334e-03
1.020950067654649e+00,1.430045967666637e+00,3.413752298045344e-03
1.024484170981219e+00,1.421962347621408e+00,3.425569284727488e-03
1.028030507899538e+00,1.413923545773434e+00,3.437427176889015e-03
1.031589120757197e+00,1.405929324599753e+00,3.449326116127635e-03
1.035160052048379e+00,1.397979447697946e+00,3.461266244531208e-03
1.038743344414362e+00,1.390073679782639e+00,3.473247704679445e-03
1.042339040644032e+00,1.382211786681999e+00,3.485270639645606e-03
1.045947183674393e+00,1.374393535334208e+00,3.497335192998216e-03
1.049567816591076e+00,1.366618693783930e+00,3.509441508802769e-03
1.053200982628860e+00,1.358887031178759e+00,3.521589731623457e-03
1.056846725172182e+00,1.351198317765659e+00,3.533780006524889e-03
1.060505087755659e+00,1.343552324887392e+00,3.546012479073833e-03
1.064176114064607e+00,1.335948824978924e+00,3.558287295340944e-03
1.067859847935561e+00,1.328387591563835e+00,3.570604601902514e-03
1.071556333356802e+00,1.320868399250711e+00,3.582964545842220e-03
1.075265614468877e+00,1.313391023729519e+00,3.595367274752885e-03
1.078987735565133e+00,1.305955241767981e+00,3.607812936738231e-03
1.082722741092240e+00,1.298560831207936e+00,3.620301680414659e-03
1.086470675650722e+00,1.291207570961690e+00,3.632833654913014e-03
1.090231583995494e+00,1.283895241008359e+00,3.645409009880372e-03
1.094005511036394e+00,1.276623622390203e+00,3.658027895481824e-03
1.097792501838718e+00,1.269392497208953e+00,3.670690462402269e-03
1.101592601623760e+00,1.262201648622131e+00,3.683396861848216e-03
1.105405855769349e+00,1.255050860839356e+00,3.696147245549586e-03
1.109232309810396e+00,1.247939919118651e+00,3.708941765761528e-03
1.113072009439435e+00,1.240868609762737e+00,3.721780575266234e-03
1.116925000507166e+00,1.233836720115335e+00,3.734663827374761e-03
1.120791329023006e+00,1.226844038557432e+00,3.747591675928871e-03
1.124671041155638e+00,1.219890354503578e+00,3.760564275302857e-03
1.128564183233562e+00,1.212975458398148e+00,3.773581780405395e-03
1.132470801745647e+00,1.206099141711622e+00,3.786644346681385e-03
1.136390943341687e+00,1.199261196936835e+00,3.799752130113819e-03
1.140324654832960e+00,1.192461417585254e+00,3.812905287225633e-03
1.144271983192782e+00,1.185699598183217e+00,3.826103975081581e-03
1.148232975557073e+00,1.178975534268204e+00,3.839348351290109e-03
1.152207679224919e+00,1.172289022385070e+00,3.852638574005238e-03
1.156196141659133e+00,1.165639860082299e+00,3.865974801928454e-03
1.160198410486826e+00,1.159027845908250e+00,3.879357194310600e-03
1.164214533499974e+00,1.152452779407392e+00,3.892785910953778e-03
1.168244558655990e+00,1.145914461116548e+00,3.906261112213261e-03
1.172288534078293e+00,1.139412692561127e+00,3.919782958999401e-03
1.176346508056887e+00,1.132947276251366e+00,3.933351612779558e-03
1.180418529048936e+00,1.126518015678559e+00,3.946967235580024e-03
1.184504645679341e+00,1.120124715311295e+00,3.960629989987956e-03
1.188604906741324e+00,1.113767180591687e+00,3.974340039153324e-03
1.192719361197008e+00,1.107445217931602e+00,3.988097546790853e-03
1.196848058178002e+00,1.101158634708902e+00,4.001902677181979e-03
1.200991046985989e+00,1.094907239263667e+00,4.015755595176813e-03
1.205148377093312e+00,1.088690840894430e+00,4.029656466196108e-03
1.209320098143569e+00,1.082509249854414e+00,4.043605456233237e-03
1.213506259952203e+00,1.076362277347757e+00,4.057602731856167e-03
1.217706912507095e+00,1.070249735525755e+00,4.071648460209461e-03
1.221922105969167e+00,1.064171437483092e+00,4.085742809016262e-03
1.226151890672973e+00,1.058127197254084e+00,4.099885946580302e-03
1.230396317127308e+00,1.052116829808909e+00,4.114078041787911e-03
1.234655436015804e+00,1.046140151049856e+00,4.128319264110030e-03
1.238929298197542e+00,1.040196977807564e+00,4.142609783604242e-03
1.243217954707653e+00,1.034287127837269e+00,4.156949770916797e-03
1.247521456757932e+00,1.028410419815051e+00,4.171339397284648e-03
1.251839855737447e+00,1.022566673334087e+00,4.185778834537504e-03
1.256173203213156e+00,1.016755708900903e+00,4.200268255099874e-03
1.260521550930515e+00,1.010977347931632e+00,4.214807831993126e-03
1.264884950814107e+00,1.005231412748272e+00,4.229397738837563e-03
1.269263454968252e+00,9.995177265749552e-01,4.244038149854482e-03
1.273657115677637e+00,9.938361135342125e-01,4.258729239868264e-03
1.278065985407933e+00,9.881863986432444e-01,4.273471184308463e-03
1.282490116806428e+00,9.825684078101978e-01,4.288264159211889e-03
1.286929562702652e+00,9.769819678304488e-01,4.303108341224726e-03
1.291384376109010e+00,9.714269063828842e-01,4.318003907604629e-03
1.295854610221411e+00,9.659030520261925e-01,4.332951036222844e-03
1.300340318419908e+00,9.604102341951563e-01,4.347949905566337e-03
1.304841554269335e+00,9.549482831969562e-01,4.363000694739918e-03
1.309358371519941e+00,9.495170302074697e-01,4.378103583468385e-03
1.313890824108041e+00,9.441163072675834e-01,4.393258752098669e-03
1.318438966156650e+00,9.387459472795099e-01,4.408466381601984e-03
1.323002851976138e+00,9.334057840031051e-01,4.423726653575994e-03
1.327582536064873e+00,9.280956520521990e-01,4.439039750246976e-03
1.332178073109875e+00,9.228153868909252e-01,4.454405854472000e-03
1.336789517987465e+00,9.175648248300599e-01,4.469825149741109e-03
1.341416925763927e+00,9.123438030233691e-01,4.485297820179515e-03
1.346060351696158e+00,9.071521594639569e-01,4.500824050549791e-03
1.350719851232332e+00,9.019897329806269e-01,4.516404026254086e-03
1.355395480012563e+00,8.968563632342427e-01,4.532037933336327e-03
1.360087293869567e+00,8.917518907141014e-01,4.547725958484452e-03
1.364795348829329e+00,8.866761567343120e-01,4.563468289032637e-03
1.369519701111772e+00,8.816290034301794e-01,4.579265112963525e-03
1.374260407131433e+00,8.766102737545978e-01,4.595116618910481e-03
1.379017523498127e+00,8.716198114744489e-01,4.611022996159837e-03
1.383791107017632e+00,8.666574611670097e-01,4.626984434653158e-03
1.388581214692362e+00,8.617230682163671e-01,4.643001124989505e-03
1.393387903722053e+00,8.568164788098395e-01,4.659073258427716e-03
1.398211231504439e+00,8.519375399344064e-01,4.675201026888684e-03
1.403051255635942e+00,8.470860993731473e-01,4.691384622957658e-03
1.407908033912359e+00,8.422620057016859e-01,4.707624239886528e-03
1.412781624329553e+00,8.374651082846430e-01,4.723920071596150e-03
1.417672085084142e+00,8.326952572721013e-01,4.740272312678646e-03
1.422579474574200e+00,8.279523035960712e-01,4.756681158399742e-03
1.427503851399947e+00,8.232360989669733e-01,4.773146804701087e-03
1.432445274364455e+00,8.185464958701211e-01,4.789669448202601e-03
1.437403802474347e+00,8.138833475622204e-01,4.806249286204816e-03
1.442379494940502e+00,8.092465080678706e-01,4.822886516691243e-03
1.447372411178762e+00,8.046358321760757e-01,4.839581338330724e-03
1.452382610810644e+00,8.000511754367700e-01,4.856333950479811e-03
1.457410153664048e+00,7.954923941573462e-01,4.873144553185146e-03
1.462455099773972e+00,7.909593453991922e-01,4.890013347185850e-03
1.467517509383234e+00,7.864518869742438e-01,4.906940533915916e-03
1.472597442943184e+00,7.819698774415396e-01,4.923926315506619e-03
1.477694961114430e+00,7.775131761037873e-01,4.940970894788929e-03
1.482810124767563e+00,7.730816430039389e-01,4.958074475295932e-03
1.487942994983882e+00,7.686751389217795e-01,4.975237261265260e-03
1.493093633056124e+00,7.642935253705174e-01,4.992459457641530e-03
1.498262100489195e+00,7.599366645933903e-01,5.009741270078793e-03
1.503448459000906e+00,7.556044195602790e-01,5.027082904942989e-03
1.508652770522711e+00,7.512966539643300e-01,5.044484569314408e-03
1.513875097200442e+00,7.470132322185880e-01,5.061946470990170e-03
1.519115501395055e+00,7.427540194526394e-01,5.079468818486698e-03
1.524374045683375e+00,7.385188815092635e-01,5.097051821042213e-03
1.529650792858840e+00,7.343076849410962e-01,5.114695688619231e-03
1.534945805932253e+00,7.301202970072995e-01,5.132400631907074e-03
1.540259148132535e+00,7.259565856702480e-01,5.150166862324379e-03
1.545590882907479e+00,7.218164195922152e-01,5.167994592021626e-03
1.550941073924508e+00,7.176996681320812e-01,5.185884033883674e-03
1.556309785071433e+00,7.136062013420387e-01,5.203835401532298e-03
1.561697080457220e+00,7.095358899643237e-01,5.221848909328745e-03
1.567103024412754e+00,7.054886054279397e-01,5.239924772376291e-03
1.572527681491604e+00,7.014642198454057e-01,5.258063206522805e-03
1.577971116470800e+00,6.974626060095074e-01,5.276264428363339e-03
1.583433394351600e+00,6.934836373900627e-01,5.294528655242700e-03
1.588914580360271e+00,6.895271881306908e-01,5.312856105258057e-03
1.594414739948866e+00,6.855931330456020e-01,5.331246997261538e-03
1.599933938796006e+00,6.816813476163892e-01,5.349701550862845e-03
1.605472242807662e+00,6.777917079888347e-01,5.368219986431879e-03
1.611029718117945e+00,6.739240909697252e-01,5.386802525101368e-03
1.616606431089896e+00,6.700783740236758e-01,5.405449388769513e-03
1.622202448316277e+00,6.662544352699714e-01,5.424160800102629e-03
1.627817836620365e+00,6.624521534794129e-01,5.442936982537811e-03
1.633452663056751e+00,6.586714080711715e-01,5.461778160285602e-03
1.639106994912143e+00,6.549120791096620e-01,5.480684558332666e-03
1.644780899706166e+00,6.511740473014218e-01,5.499656402444476e-03
1.650474445192170e+00,6.474571939919982e-01,5.518693919168015e-03
1.656187699358040e+00,6.437614011628530e-01,5.537797335834474e-03
1.661920730427006e+00,6.400865514282730e-01,5.556966880561970e-03
1.667673606858457e+00,6.364325280322910e-01,5.576202782258270e-03
1.673446397348761e+00,6.327992148456228e-01,5.595505270623525e-03
1.679239170832085e+00,6.291864963626075e-01,5.614874576153011e-03
1.685051996481216e+00,6.255942576981672e-01,5.634310930139884e-03
1.690884943708389e+00,6.220223845847686e-01,5.653814564677941e-03
1.696738082166115e+00,6.184707633694023e-01,5.673385712664387e-03
1.702611481748014e+00,6.149392810105726e-01,5.693024607802623e-03
1.708505212589646e+00,6.114278250752919e-01,5.712731484605033e-03
1.714419345069353e+00,6.079362837360940e-01,5.732506578395785e-03
1.720353949809099e+00,6.044645457680544e-01,5.752350125313644e-03
1.726309097675307e+00,6.010125005458198e-01,5.772262362314783e-03
1.732284859779715e+00,5.975800380406553e-01,5.792243527175624e-03
1.738281307480217e+00,5.941670488174923e-01,5.812293858495669e-03
1.744298512381719e+00,5.907734240319998e-01,5.832413595700352e-03
1.750336546336995e+00,5.873990554276542e-01,5.852602979043897e-03
1.756395481447542e+00,5.840438353328303e-01,5.872862249612193e-03
1.762475390064441e+00,5.807076566578969e-01,5.893191649325663e-03
1.768576344789224e+00,5.773904128923268e-01,5.913591420942156e-03
1.774698418474739e+00,5.740919981018169e-01,5.934061808059854e-03
1.780841684226020e+00,5.708123069254178e-01,5.954603055120168e-03
1.787006215401160e+00,5.675512345726776e-01,5.975215407410668e-03
1.793192085612187e+00,5.643086768207932e-01,5.995899111068003e-03
1.799399368725945e+00,5.610845300117766e-01,6.016654413080847e-03
1.805628138864970e+00,5.578786910496286e-01,6.037481561292846e-03
1.811878470408383e+00,5.546910573975249e-01,6.058380804405576e-03
1.818150437992774e+00,5.515215270750142e-01,6.079352391981515e-03
1.824444116513093e+00,5.483699986552275e-01,6.100396574447022e-03
1.830759581123544e+00,5.452363712620950e-01,6.121513603095327e-03
1.837096907238486e+00,5.421205445675777e-01,6.142703730089534e-03
1.843456170533329e+00,5.390224187889113e-01,6.163967208465627e-03
1.849837446945441e+00,5.359418946858546e-01,6.185304292135500e-03
1.856240812675052e+00,5.328788735579565e-01,6.206715235889980e-03
1.862666344186168e+00,5.298332572418294e-01,6.228200295401876e-03
1.869114118207479e+00,5.268049481084345e-01,6.249759727229028e-03
1.875584211733279e+00,5.237938490603783e-01,6.271393788817374e-03
1.882076702024382e+00,5.207998635292228e-01,6.293102738504020e-03
1.888591666609051e+00,5.178228954728008e-01,6.314886835520330e-03
1.895129183283915e+00,5.148628493725476e-01,6.336746339995016e-03
1.901689330114906e+00,5.119196302308415e-01,6.358681512957250e-03
1.908272185438185e+00,5.089931435683552e-01,6.380692616339777e-03
1.914877827861082e+00,5.060832954214185e-01,6.402779912982044e-03
1.921506336263032e+00,5.031899923393914e-01,6.424943666633335e-03
1.928157789796517e+00,5.003131413820501e-01,6.447184141955932e-03
1.934832267888013e+00,4.974526501169811e-01,6.469501604528261e-03
1.941529850238938e+00,4.946084266169880e-01,6.491896320848070e-03
1.948250616826600e+00,4.917803794575087e-01,6.514368558335614e-03
1.954994647905159e+00,4.889684177140441e-01,6.536918585336845e-03
1.961762024006579e+00,4.861724509595964e-01,6.559546671126613e-03
1.968552825941592e+00,4.833923892621200e-01,6.582253085911889e-03
1.975367134800665e+00,4.806281431819807e-01,6.605038100834989e-03
1.982205031954964e+00,4.778796237694292e-01,6.627901987976804e-03
1.989066599057329e+00,4.751467425620826e-01,6.650845020360064e-03
1.995951918043249e+00,4.724294115824169e-01,6.673867471952585e-03
2.002861071131838e+00,4.697275433352723e-01,6.696969617670543e-03
2.009794140826819e+00,4.670410508053676e-01,6.720151733381765e-03
2.016751209917509e+00,4.643698474548250e-01,6.743414095909015e-03
2.023732361479806e+00,4.617138472207071e-01,6.766756983033301e-03
2.030737678877183e+00,4.590729645125636e-01,6.790180673497193e-03
2.037767245761681e+00,4.564471142099888e-01,6.813685447008152e-03
2.044821146074913e+00,4.538362116601898e-01,6.837271584241870e-03
2.051899464049058e+00,4.512401726755670e-01,6.860939366845620e-03
2.059002284207876e+00,4.486589135313002e-01,6.884689077441623e-03
2.066129691367711e+00,4.460923509629522e-01,6.908520999630418e-03
2.073281770638505e+00,4.435404021640787e-01,6.932435417994249e-03
2.080458607424816e+00,4.410029847838484e-01,6.956432618100469e-03
2.087660287426839e+00,4.384800169246755e-01,6.980512886504947e-03
2.094886896641424e+00,4.359714171398634e-01,7.004676510755481e-03
2.102138521363108e+00,4.334771044312561e-01,7.028923779395248e-03
2.109415248185143e+00,4.309969982469014e-01,7.053254981966238e-03
2.116717164000532e+00,4.285310184787257e-01,7.077670409012714e-03
2.124044356003063e+00,4.260790854602178e-01,7.102170352084681e-03
2.131396911688355e+00,4.236411199641245e-01,7.126755103741373e-03
2.138774918854899e+00,4.212170432001532e-01,7.151424957554739e-03
2.146178465605109e+00,4.188067768126899e-01,7.176180208112949e-03
2.153607640346370e+00,4.164102428785234e-01,7.201021151023921e-03
2.161062531792100e+00,4.140273639045828e-01,7.225948082918837e-03
2.168543228962803e+00,4.116580628256813e-01,7.250961301455698e-03
2.176049821187136e+00,4.093022630022755e-01,7.276061105322871e-03
2.183582398102976e+00,4.069598882182306e-01,7.301247794242655e-03
2.191141049658486e+00,4.046308626785974e-01,7.326521668974868e-03
2.198725866113195e+00,4.023151110074010e-01,7.351883031320430e-03
2.206336938039071e+00,4.000125582454356e-01,7.377332184124968e-03
2.213974356321604e+00,3.977231298480744e-01,7.402869431282436e-03
2.221638212160893e+00,3.954467516830862e-01,7.428495077738744e-03
2.229328597072734e+00,3.931833500284613e-01,7.454209429495397e-03
2.237045602889710e+00,3.909328515702531e-01,7.480012793613144e-03
2.244789321762294e+00,3.886951834004218e-01,7.505905478215659e-03
2.252559846159941e+00,3.864702730146947e-01,7.531887792493205e-03
2.260357268872200e+00,3.842580483104318e-01,7.557960046706337e-03
2.268181683009818e+00,3.820584375845059e-01,7.584122552189599e-03
2.276033182005851e+00,3.798713695311873e-01,7.610375621355246e-03
2.283911859616785e+00,3.776967732400427e-01,7.636719567696979e-03
2.291817809923647e+00,3.755345781938424e-01,7.663154705793677e-03
2.299751127333137e+00,3.733847142664770e-01,7.689681351313162e-03
2.307711906578750e+00,3.712471117208832e-01,7.716299821015968e-03
2.315700242721909e+00,3.691217012069825e-01,7.743010432759119e-03
2.323716231153100e+00,3.670084137596253e-01,7.769813505499930e-03
2.331759967593012e+00,3.649071807965478e-01,7.796709359299814e-03
2.339831548093677e+00,3.628179341163384e-01,7.823698315328097e-03
2.347931069039622e+00,3.607406058964110e-01,7.850780695865865e-03
2.356058627149014e+00,3.586751286909919e-01,7.877956824309810e-03
2.364214319474820e+00,3.566214354291131e-01,7.905227025176076e-03
2.372398243405963e+00,3.545794594126163e-01,7.932591624104160e-03
2.380610496668487e+00,3.525491343141671e-01,7.960050947860777e-03
2.388851177326722e+00,3.505303941752763e-01,7.987605324343783e-03
2.397120383784454e+00,3.485231734043356e-01,8.015255082586069e-03
2.405418214786105e+00,3.465274067746559e-01,8.043000552759503e-03
2.413744769417907e+00,3.445430294225210e-01,8.070842066178875e-03
2.422100147109089e+00,3.425699768452468e-01,8.098779955305844e-03
2.430484447633060e+00,3.406081848992519e-01,8.126814553752915e-03
2.438897771108604e+00,3.386575897981370e-01,8.154946196287420e-03
2.447340218001076e+00,3.367181281107733e-01,8.183175218835515e-03
2.455811889123599e+00,3.347897367593999e-01,8.211501958486193e-03
2.464312885638268e+00,3.328723530177310e-01,8.239926753495309e-03
2.472843309057360e+00,3.309659145090728e-01,8.268449943289617e-03
2.481403261244544e+00,3.290703592044473e-01,8.297071868470824e-03
2.489992844416102e+00,3.271856254207282e-01,8.325792870819663e-03
2.498612161142142e+00,3.253116518187824e-01,8.354613293299966e-03
2.507261314347830e+00,3.234483774016254e-01,8.383533480062762e-03
2.515940407314613e+00,3.215957415125806e-01,8.412553776450388e-03
2.524649543681457e+00,3.197536838334502e-01,8.441674529000612e-03
2.533388827446085e+00,3.179221443826951e-01,8.470896085450774e-03
2.542158362966211e+00,3.161010635136231e-01,8.500218794741931e-03
2.550958254960799e+00,3.142903819125869e-01,8.529643007023031e-03
2.559788608511301e+00,3.124900405971884e-01,8.559169073655093e-03
2.568649529062919e+00,3.106999809144959e-01,8.588797347215396e-03
2.577541122425862e+00,3.089201445392662e-01,8.618528181501701e-03
2.586463494776611e+00,3.071504734721776e-01,8.648361931536468e-03
2.595416752659185e+00,3.053909100380715e-01,8.678298953571093e-03
2.604401002986413e+00,3.036413968842017e-01,8.708339605090166e-03
2.613416353041212e+00,3.019018769784940e-01,8.738484244815744e-03
2.622462910477869e+00,3.001722936078118e-01,8.768733232711629e-03
2.631540783323324e+00,2.984525903762336e-01,8.799086929987661e-03
