# modelo=pao_beta2.25_logper_amp0.02_w2
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.01
# eta=3.162277660168e-02
# Re_nominal=100
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.495959392905805e+00,3.162277660168379e-02
1.003461582929995e+00,1.487213176561063e+00,3.173224146536722e-02
1.006935148416371e+00,1.478516001329468e+00,3.184208525075421e-02
1.010420737937741e+00,1.469867601820953e+00,3.195230926951367e-02
1.013918393116299e+00,1.461267714093084e+00,3.206291483785494e-02
1.017428155718318e+00,1.452716075642293e+00,3.217390327654353e-02
1.020950067654649e+00,1.444212425395176e+00,3.228527591091692e-02
1.024484170981219e+00,1.435756503699850e+00,3.239703407090032e-02
1.028030507899538e+00,1.427348052317378e+00,3.250917909102261e-02
1.031589120757197e+00,1.418986814413243e+00,3.262171231043225e-02
1.035160052048379e+00,1.410672534548891e+00,3.273463507291324e-02
1.038743344414362e+00,1.402404958673331e+00,3.284794872690125e-02
1.042339040644032e+00,1.394183834114792e+00,3.296165462549963e-02
1.045947183674393e+00,1.386008909572438e+00,3.307575412649565e-02
1.049567816591076e+00,1.377879935108148e+00,3.319024859237664e-02
1.053200982628860e+00,1.369796662138346e+00,3.330513939034629e-02
1.056846725172182e+00,1.361758843425889e+00,3.342042789234102e-02
1.060505087755659e+00,1.353766233072019e+00,3.353611547504627e-02
1.064176114064607e+00,1.345818586508362e+00,3.365220351991303e-02
1.067859847935561e+00,1.337915660488989e+00,3.376869341317427e-02
1.071556333356802e+00,1.330057213082533e+00,3.388558654586155e-02
1.075265614468877e+00,1.322243003664358e+00,3.400288431382156e-02
1.078987735565133e+00,1.314472792908784e+00,3.412058811773288e-02
1.082722741092240e+00,1.306746342781364e+00,3.423869936312261e-02
1.086470675650722e+00,1.299063416531225e+00,3.435721946038322e-02
1.090231583995494e+00,1.291423778683448e+00,3.447614982478937e-02
1.094005511036394e+00,1.283827195031512e+00,3.459549187651480e-02
1.097792501838718e+00,1.276273432629786e+00,3.471524704064933e-02
1.101592601623760e+00,1.268762259786077e+00,3.483541674721580e-02
1.105405855769349e+00,1.261293446054225e+00,3.495600243118722e-02
1.109232309810396e+00,1.253866762226754e+00,3.507700553250387e-02
1.113072009439435e+00,1.246481980327571e+00,3.519842749609053e-02
1.116925000507166e+00,1.239138873604720e+00,3.532026977187365e-02
1.120791329023006e+00,1.231837216523185e+00,3.544253381479879e-02
1.124671041155638e+00,1.224576784757736e+00,3.556522108484786e-02
1.128564183233562e+00,1.217357355185839e+00,3.568833304705667e-02
1.132470801745647e+00,1.210178705880603e+00,3.581187117153233e-02
1.136390943341687e+00,1.203040616103778e+00,3.593583693347088e-02
