# modelo=pao_beta2.25_logper_amp0.02_w2
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.002
# eta=9.457416090032e-03
# Re_nominal=500
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.523130468039243e+00,9.457416090031758e-03
1.003461582929995e+00,1.514351270929331e+00,9.490153720130871e-03
1.006935148416371e+00,1.505621121807612e+00,9.523004674251502e-03
1.010420737937741e+00,1.496939755322295e+00,9.555969344674155e-03
1.013918393116299e+00,1.488306907570248e+00,9.589048125037233e-03
1.017428155718318e+00,1.479722316088228e+00,9.622241410341759e-03
1.020950067654649e+00,1.471185719844163e+00,9.655549596956090e-03
1.024484170981219e+00,1.462696859228515e+00,9.688973082620631e-03
1.028030507899538e+00,1.454255476045685e+00,9.722512266452611e-03
1.031589120757197e+00,1.445861313505489e+00,9.756167548950829e-03
1.035160052048379e+00,1.437514116214689e+00,9.789939332000447e-03
1.038743344414362e+00,1.429213630168586e+00,9.823828018877786e-03
1.042339040644032e+00,1.420959602742671e+00,9.857834014255136e-03
1.045947183674393e+00,1.412751782684334e+00,9.891957724205607e-03
1.049567816591076e+00,1.404589920104633e+00,9.926199556207948e-03
1.053200982628860e+00,1.396473766470117e+00,9.960559919151440e-03
1.056846725172182e+00,1.388403074594712e+00,9.995039223340765e-03
1.060505087755659e+00,1.380377598631657e+00,1.002963788050091e-02
1.064176114064607e+00,1.372397094065503e+00,1.006435630378208e-02
1.067859847935561e+00,1.364461317704163e+00,1.009919490776464e-02
1.071556333356802e+00,1.356570027671020e+00,1.013415410846405e-02
1.075265614468877e+00,1.348722983397092e+00,1.016923432333585e-02
1.078987735565133e+00,1.340919945613247e+00,1.020443597128062e-02
1.082722741092240e+00,1.333160676342474e+00,1.023975947264904e-02
1.086470675650722e+00,1.325444938892212e+00,1.027520524924681e-02
1.090231583995494e+00,1.317772497846729e+00,1.031077372433980e-02
1.094005511036394e+00,1.310143119059555e+00,1.034646532265901e-02
1.097792501838718e+00,1.302556569645962e+00,1.038228047040571e-02
1.101592601623760e+00,1.295012617975513e+00,1.041821959525649e-02
1.105405855769349e+00,1.287511033664640e+00,1.045428312636837e-02
1.109232309810396e+00,1.280051587569296e+00,1.049047149438393e-02
1.113072009439435e+00,1.272634051777638e+00,1.052678513143649e-02
1.116925000507166e+00,1.265258199602781e+00,1.056322447115520e-02
1.120791329023006e+00,1.257923805575582e+00,1.059978994867025e-02
1.124671041155638e+00,1.250630645437494e+00,1.063648200061810e-02
1.128564183233562e+00,1.243378496133452e+00,1.067330106514664e-02
1.132470801745647e+00,1.236167135804820e+00,1.071024758192044e-02
1.136390943341687e+00,1.228996343782384e+00,1.074732199212604e-02
1.140324654832960e+00,1.221865900579393e+00,1.078452473847714e-02
1.144271983192782e+00,1.214775587884644e+00,1.082185626521996e-02
1.148232975557073e+00,1.207725188555626e+00,1.085931701813851e-02
1.152207679224919e+00,1.200714486611700e+00,1.089690744455990e-02
1.156196141659133e+00,1.193743267227332e+00,1.093462799335972e-02
1.160198410486826e+00,1.186811316725370e+00,1.097247911496738e-02
1.164214533499974e+00,1.179918422570374e+00,1.101046126137147e-02
1.168244558655990e+00,1.173064373361981e+00,1.104857488612521e-02
1.172288534078293e+00,1.166248958828330e+00,1.108682044435179e-02
1.176346508056887e+00,1.159471969819513e+00,1.112519839274988e-02
1.180418529048936e+00,1.152733198301096e+00,1.116370918959902e-02
1.184504645679341e+00,1.146032437347660e+00,1.120235329476517e-02
1.188604906741324e+00,1.139369481136404e+00,1.124113116970610e-02
