# modelo=quimera_pao4/3_beta_pope5.2
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.01
# eta=3.162277660168e-02
# Re_nominal=100
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000e+00,1.423993e+00,3.162278e-02
1.003462e+00,1.415476e+00,3.173224e-02
1.006935e+00,1.407007e+00,3.184209e-02
1.010421e+00,1.398588e+00,3.195231e-02
1.013918e+00,1.390218e+00,3.206291e-02
1.017428e+00,1.381896e+00,3.217390e-02
1.020950e+00,1.373623e+00,3.228528e-02
1.024484e+00,1.365397e+00,3.239703e-02
1.028031e+00,1.357219e+00,3.250918e-02
1.031589e+00,1.349089e+00,3.262171e-02
1.035160e+00,1.341006e+00,3.273464e-02
1.038743e+00,1.332969e+00,3.284795e-02
1.042339e+00,1.324979e+00,3.296165e-02
1.045947e+00,1.317036e+00,3.307575e-02
1.049568e+00,1.309139e+00,3.319025e-02
1.053201e+00,1.301287e+00,3.330514e-02
1.056847e+00,1.293481e+00,3.342043e-02
1.060505e+00,1.285721e+00,3.353612e-02
1.064176e+00,1.278005e+00,3.365220e-02
1.067860e+00,1.270334e+00,3.376869e-02
1.071556e+00,1.262708e+00,3.388559e-02
1.075266e+00,1.255126e+00,3.400288e-02
1.078988e+00,1.247588e+00,3.412059e-02
1.082723e+00,1.240094e+00,3.423870e-02
1.086471e+00,1.232643e+00,3.435722e-02
1.090232e+00,1.225236e+00,3.447615e-02
1.094006e+00,1.217871e+00,3.459549e-02
1.097793e+00,1.210549e+00,3.471525e-02
1.101593e+00,1.203270e+00,3.483542e-02
1.105406e+00,1.196033e+00,3.495600e-02
1.109232e+00,1.188838e+00,3.507701e-02
1.113072e+00,1.181685e+00,3.519843e-02
1.116925e+00,1.174574e+00,3.532027e-02
1.120791e+00,1.167503e+00,3.544253e-02
1.124671e+00,1.160474e+00,3.556522e-02
1.128564e+00,1.153486e+00,3.568833e-02
1.132471e+00,1.146538e+00,3.581187e-02
1.136391e+00,1.139631e+00,3.593584e-02
1.140325e+00,1.132763e+00,3.606023e-02
1.144272e+00,1.125936e+00,3.618506e-02
1.148233e+00,1.119148e+00,3.631031e-02
1.152208e+00,1.112400e+00,3.643601e-02
1.156196e+00,1.105691e+00,3.656213e-02
1.160198e+00,1.099021e+00,3.668870e-02
1.164215e+00,1.092390e+00,3.681570e-02
1.168245e+00,1.085797e+00,3.694314e-02
1.172289e+00,1.079242e+00,3.707102e-02
1.176347e+00,1.072726e+00,3.719934e-02
1.180419e+00,1.066248e+00,3.732811e-02
1.184505e+00,1.059807e+00,3.745733e-02
1.188605e+00,1.053403e+00,3.758699e-02
1.192719e+00,1.047037e+00,3.771710e-02
1.196848e+00,1.040708e+00,3.784766e-02
1.200991e+00,1.034416e+00,3.797867e-02
1.205148e+00,1.028160e+00,3.811014e-02
1.209320e+00,1.021941e+00,3.824206e-02
1.213506e+00,1.015758e+00,3.837444e-02
1.217707e+00,1.009611e+00,3.850727e-02
1.221922e+00,1.003499e+00,3.864057e-02
1.226152e+00,9.974236e-01,3.877433e-02
1.230396e+00,9.913831e-01,3.890855e-02
1.234655e+00,9.853777e-01,3.904323e-02
1.238929e+00,9.794074e-01,3.917838e-02
1.243218e+00,9.734717e-01,3.931400e-02
1.247521e+00,9.675706e-01,3.945009e-02
1.251840e+00,9.617039e-01,3.958665e-02
1.256173e+00,9.558712e-01,3.972368e-02
1.260522e+00,9.500726e-01,3.986119e-02
1.264885e+00,9.443077e-01,3.999917e-02
1.269263e+00,9.385764e-01,4.013763e-02
1.273657e+00,9.328784e-01,4.027657e-02
1.278066e+00,9.272136e-01,4.041600e-02
1.282490e+00,9.215818e-01,4.055590e-02
1.286930e+00,9.159828e-01,4.069629e-02
1.291384e+00,9.104164e-01,4.083716e-02
1.295855e+00,9.048825e-01,4.097852e-02
1.300340e+00,8.993807e-01,4.112037e-02
1.304842e+00,8.939111e-01,4.126271e-02
1.309358e+00,8.884732e-01,4.140555e-02
1.313891e+00,8.830671e-01,4.154888e-02
1.318439e+00,8.776925e-01,4.169270e-02
1.323003e+00,8.723492e-01,4.183702e-02
1.327583e+00,8.670370e-01,4.198185e-02
1.332178e+00,8.617558e-01,4.212717e-02
1.336790e+00,8.565053e-01,4.227300e-02
1.341417e+00,8.512855e-01,4.241933e-02
1.346060e+00,8.460961e-01,4.256617e-02
1.350720e+00,8.409370e-01,4.271351e-02
1.355395e+00,8.358079e-01,4.286137e-02
1.360087e+00,8.307088e-01,4.300974e-02
1.364795e+00,8.256394e-01,4.315862e-02
1.369520e+00,8.205995e-01,4.330802e-02
1.374260e+00,8.155891e-01,4.345793e-02
1.379018e+00,8.106078e-01,4.360836e-02
1.383791e+00,8.056556e-01,4.375932e-02
1.388581e+00,8.007324e-01,4.391079e-02
1.393388e+00,7.958378e-01,4.406279e-02
1.398211e+00,7.909718e-01,4.421532e-02
