# modelo=pao_beta2.25
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.005
# eta=1.880301546543e-02
# Re_nominal=200
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.483219566916850e+00,1.880301546543197e-02
1.003461582929995e+00,1.474625135440298e+00,1.886810366279954e-02
1.006935148416371e+00,1.466080152155427e+00,1.893341716836006e-02
1.010420737937741e+00,1.457584332999159e+00,1.899895676203653e-02
1.013918393116299e+00,1.449137395539884e+00,1.906472322645171e-02
1.017428155718318e+00,1.440739058968088e+00,1.913071734693746e-02
1.020950067654649e+00,1.432389044087037e+00,1.919693991154418e-02
1.024484170981219e+00,1.424087073303520e+00,1.926339171105012e-02
1.028030507899538e+00,1.415832870618635e+00,1.933007353897090e-02
1.031589120757197e+00,1.407626161618636e+00,1.939698619156894e-02
1.035160052048379e+00,1.399466673465827e+00,1.946413046786303e-02
1.038743344414362e+00,1.391354134889518e+00,1.953150716963777e-02
1.042339040644032e+00,1.383288276177015e+00,1.959911710145326e-02
1.045947183674393e+00,1.375268829164682e+00,1.966696107065462e-02
1.049567816591076e+00,1.367295527229042e+00,1.973503988738167e-02
1.053200982628860e+00,1.359368105277930e+00,1.980335436457861e-02
1.056846725172182e+00,1.351486299741705e+00,1.987190531800367e-02
1.060505087755659e+00,1.343649848564496e+00,1.994069356623894e-02
1.064176114064607e+00,1.335858491195522e+00,2.000971993070010e-02
1.067859847935561e+00,1.328111968580436e+00,2.007898523564618e-02
1.071556333356802e+00,1.320410023152740e+00,2.014849030818952e-02
1.075265614468877e+00,1.312752398825238e+00,2.021823597830551e-02
1.078987735565133e+00,1.305138840981537e+00,2.028822307884262e-02
1.082722741092240e+00,1.297569096467607e+00,2.035845244553227e-02
1.086470675650722e+00,1.290042913583378e+00,2.042892491699884e-02
1.090231583995494e+00,1.282560042074391e+00,2.049964133476967e-02
1.094005511036394e+00,1.275120233123499e+00,2.057060254328513e-02
1.097792501838718e+00,1.267723239342609e+00,2.064180938990867e-02
1.101592601623760e+00,1.260368814764476e+00,2.071326272493699e-02
1.105405855769349e+00,1.253056714834548e+00,2.078496340161013e-02
1.109232309810396e+00,1.245786696402846e+00,2.085691227612171e-02
1.113072009439435e+00,1.238558517715902e+00,2.092911020762914e-02
1.116925000507166e+00,1.231371938408739e+00,2.100155805826385e-02
1.120791329023006e+00,1.224226719496897e+00,2.107425669314163e-02
1.124671041155638e+00,1.217122623368502e+00,2.114720698037294e-02
1.128564183233562e+00,1.210059413776389e+00,2.122040979107327e-02
1.132470801745647e+00,1.203036855830260e+00,2.129386599937354e-02
1.136390943341687e+00,1.196054715988895e+00,2.136757648243057e-02
1.140324654832960e+00,1.189112762052400e+00,2.144154212043751e-02
1.144271983192782e+00,1.182210763154511e+00,2.151576379663438e-02
1.148232975557073e+00,1.175348489754928e+00,2.159024239731862e-02
1.152207679224919e+00,1.168525713631706e+00,2.166497881185563e-02
1.156196141659133e+00,1.161742207873681e+00,2.173997393268945e-02
1.160198410486826e+00,1.154997746872940e+00,2.181522865535338e-02
1.164214533499974e+00,1.148292106317345e+00,2.189074387848068e-02
1.168244558655990e+00,1.141625063183081e+00,2.196652050381532e-02
1.172288534078293e+00,1.134996395727267e+00,2.204255943622271e-02
1.176346508056887e+00,1.128405883480591e+00,2.211886158370054e-02
1.180418529048936e+00,1.121853307240006e+00,2.219542785738960e-02
1.184504645679341e+00,1.115338449061449e+00,2.227225917158467e-02
1.188604906741324e+00,1.108861092252615e+00,2.234935644374545e-02
1.192719361197008e+00,1.102421021365769e+00,2.242672059450749e-02
1.196848058178002e+00,1.096018022190598e+00,2.250435254769320e-02
1.200991046985989e+00,1.089651881747104e+00,2.258225323032288e-02
1.205148377093312e+00,1.083322388278538e+00,2.266042357262579e-02
1.209320098143569e+00,1.077029331244379e+00,2.273886450805124e-02
1.213506259952203e+00,1.070772501313344e+00,2.281757697327978e-02
1.217706912507095e+00,1.064551690356448e+00,2.289656190823433e-02
1.221922105969167e+00,1.058366691440096e+00,2.297582025609144e-02
1.226151890672973e+00,1.052217298819221e+00,2.305535296329256e-02
1.230396317127308e+00,1.046103307930456e+00,2.313516097955530e-02
1.234655436015804e+00,1.040024515385352e+00,2.321524525788481e-02
1.238929298197542e+00,1.033980718963624e+00,2.329560675458515e-02
1.243217954707653e+00,1.027971717606450e+00,2.337624642927070e-02
1.247521456757932e+00,1.021997311409793e+00,2.345716524487762e-02
1.251839855737447e+00,1.016057301617777e+00,2.353836416767535e-02
1.256173203213156e+00,1.010151490616087e+00,2.361984416727818e-02
1.260521550930515e+00,1.004279681925420e+00,2.370160621665677e-02
1.264884950814107e+00,9.984416801949587e-01,2.378365129214981e-02
1.269263454968252e+00,9.926372911958977e-01,2.386598037347567e-02
1.273657115677637e+00,9.868663218149966e-01,2.394859444374408e-02
1.278065985407933e+00,9.811285800481739e-01,2.403149448946791e-02
1.282490116806428e+00,9.754238749941386e-01,2.411468150057492e-02
1.286929562702652e+00,9.697520168480558e-01,2.419815647041958e-02
1.291384376109010e+00,9.641128168952505e-01,2.428192039579493e-02
1.295854610221411e+00,9.585060875049475e-01,2.436597427694450e-02
1.300340318419908e+00,9.529316421240455e-01,2.445031911757427e-02
1.304841554269335e+00,9.473892952709295e-01,2.453495592486460e-02
1.309358371519941e+00,9.418788625293172e-01,2.461988570948228e-02
1.313890824108041e+00,9.364001605421400e-01,2.470510948559265e-02
1.318438966156650e+00,9.309530070054622e-01,2.479062827087163e-02
1.323002851976138e+00,9.255372206624309e-01,2.487644308651793e-02
1.327582536064873e+00,9.201526212972639e-01,2.496255495726521e-02
1.332178073109875e+00,9.147990297292720e-01,2.504896491139434e-02
