# modelo=pope_completo_fL_feta
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.002
# eta=9.457416090032e-03
# Re_nominal=500
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.479502076764963e+00,9.457416090031758e-03
1.003461582929995e+00,1.471144494429016e+00,9.490153720130871e-03
1.006935148416371e+00,1.462833179137391e+00,9.523004674251502e-03
1.010420737937741e+00,1.454567886571272e+00,9.555969344674155e-03
1.013918393116299e+00,1.446348373553010e+00,9.589048125037233e-03
1.017428155718318e+00,1.438174398042727e+00,9.622241410341759e-03
1.020950067654649e+00,1.430045719134901e+00,9.655549596956090e-03
1.024484170981219e+00,1.421962097054940e+00,9.688973082620631e-03
1.028030507899538e+00,1.413923293155731e+00,9.722512266452611e-03
1.031589120757197e+00,1.405929069914179e+00,9.756167548950829e-03
1.035160052048379e+00,1.397979190927732e+00,9.789939332000447e-03
1.038743344414362e+00,1.390073420910879e+00,9.823828018877786e-03
1.042339040644032e+00,1.382211525691650e+00,9.857834014255136e-03
1.045947183674393e+00,1.374393272208089e+00,9.891957724205607e-03
1.049567816591076e+00,1.366618428504721e+00,9.926199556207948e-03
1.053200982628860e+00,1.358886763729000e+00,9.960559919151440e-03
1.056846725172182e+00,1.351198048127749e+00,9.995039223340765e-03
1.060505087755659e+00,1.343552053043586e+00,1.002963788050091e-02
1.064176114064607e+00,1.335948550911334e+00,1.006435630378208e-02
1.067859847935561e+00,1.328387315254430e+00,1.009919490776464e-02
1.071556333356802e+00,1.320868120681312e+00,1.013415410846405e-02
1.075265614468877e+00,1.313390742881801e+00,1.016923432333585e-02
1.078987735565133e+00,1.305954958623469e+00,1.020443597128062e-02
1.082722741092240e+00,1.298560545748005e+00,1.023975947264904e-02
1.086470675650722e+00,1.291207283167567e+00,1.027520524924681e-02
1.090231583995494e+00,1.283894950861118e+00,1.031077372433980e-02
1.094005511036394e+00,1.276623329870763e+00,1.034646532265901e-02
1.097792501838718e+00,1.269392202298081e+00,1.038228047040571e-02
1.101592601623760e+00,1.262201351300437e+00,1.041821959525649e-02
1.105405855769349e+00,1.255050561087292e+00,1.045428312636837e-02
1.109232309810396e+00,1.247939616916513e+00,1.049047149438393e-02
1.113072009439435e+00,1.240868305090661e+00,1.052678513143649e-02
1.116925000507166e+00,1.233836412953293e+00,1.056322447115520e-02
1.120791329023006e+00,1.226843728885238e+00,1.059978994867025e-02
1.124671041155638e+00,1.219890042300880e+00,1.063648200061810e-02
1.128564183233562e+00,1.212975143644432e+00,1.067330106514664e-02
1.132470801745647e+00,1.206098824386204e+00,1.071024758192044e-02
1.136390943341687e+00,1.199260877018866e+00,1.074732199212604e-02
1.140324654832960e+00,1.192461095053715e+00,1.078452473847714e-02
1.144271983192782e+00,1.185699273016922e+00,1.082185626521996e-02
1.148232975557073e+00,1.178975206445790e+00,1.085931701813851e-02
1.152207679224919e+00,1.172288691885005e+00,1.089690744455990e-02
1.156196141659133e+00,1.165639526882877e+00,1.093462799335972e-02
1.160198410486826e+00,1.159027509987587e+00,1.097247911496738e-02
1.164214533499974e+00,1.152452440743428e+00,1.101046126137147e-02
1.168244558655990e+00,1.145914119687044e+00,1.104857488612521e-02
1.172288534078293e+00,1.139412348343664e+00,1.108682044435179e-02
1.176346508056887e+00,1.132946929223343e+00,1.112519839274988e-02
1.180418529048936e+00,1.126517665817194e+00,1.116370918959902e-02
1.184504645679341e+00,1.120124362593619e+00,1.120235329476517e-02
1.188604906741324e+00,1.113766824994547e+00,1.124113116970610e-02
1.192719361197008e+00,1.107444859431656e+00,1.128004327747699e-02
1.196848058178002e+00,1.101158273282620e+00,1.131909008273591e-02
1.200991046985989e+00,1.094906874887329e+00,1.135827205174938e-02
1.205148377093312e+00,1.088690473544122e+00,1.139758965239795e-02
1.209320098143569e+00,1.082508879506030e+00,1.143704335418178e-02
1.213506259952203e+00,1.076361903976995e+00,1.147663362822622e-02
1.217706912507095e+00,1.070249359108116e+00,1.151636094728750e-02
1.221922105969167e+00,1.064171057993881e+00,1.155622578575829e-02
1.226151890672973e+00,1.058126814668404e+00,1.159622861967343e-02
1.230396317127308e+00,1.052116444101660e+00,1.163636992671562e-02
1.234655436015804e+00,1.046139762195738e+00,1.167665018622104e-02
1.238929298197542e+00,1.040196585781070e+00,1.171706987918518e-02
1.243217954707653e+00,1.034286732612687e+00,1.175762948826853e-02
1.247521456757932e+00,1.028410021366459e+00,1.179832949780232e-02
1.251839855737447e+00,1.022566271635356e+00,1.183917039379437e-02
1.256173203213156e+00,1.016755303925688e+00,1.188015266393483e-02
1.260521550930515e+00,1.010976939653379e+00,1.192127679760204e-02
1.264884950814107e+00,1.005231001140210e+00,1.196254328586836e-02
1.269263454968252e+00,9.995173116100958e-01,1.200395262150605e-02
1.273657115677637e+00,9.938356951853503e-01,1.204550529899312e-02
1.278065985407933e+00,9.881859768829528e-01,1.208720181451928e-02
1.282490116806428e+00,9.825679826108288e-01,1.212904266599182e-02
1.286929562702652e+00,9.769815391641302e-01,1.217102835304160e-02
1.291384376109010e+00,9.714264742215180e-01,1.221315937702897e-02
1.295854610221411e+00,9.659026163414536e-01,1.225543624104980e-02
1.300340318419908e+00,9.604097949584898e-01,1.229785944994146e-02
1.304841554269335e+00,9.549478403795760e-01,1.234042951028886e-02
1.309358371519941e+00,9.495165837803575e-01,1.238314693043048e-02
1.313890824108041e+00,9.441158572014847e-01,1.242601222046447e-02
1.318438966156650e+00,9.387454935449342e-01,1.246902589225474e-02
1.323002851976138e+00,9.334053265703232e-01,1.251218845943703e-02
1.327582536064873e+00,9.280951908912400e-01,1.255550043742510e-02
1.332178073109875e+00,9.228149219715769e-01,1.259896234341683e-02
1.336789517987465e+00,9.175643561218645e-01,1.264257469640045e-02
1.341416925763927e+00,9.123433304956228e-01,1.268633801716070e-02
1.346060351696158e+00,9.071516830857067e-01,1.273025282828505e-02
1.350719851232332e+00,9.019892527206699e-01,1.277431965416996e-02
1.355395480012563e+00,8.968558790611225e-01,1.281853902102713e-02
1.360087293869567e+00,8.917514025961079e-01,1.286291145688979e-02
1.364795348829329e+00,8.866756646394774e-01,1.290743749161900e-02
1.369519701111772e+00,8.816285073262780e-01,1.295211765690996e-02
1.374260407131433e+00,8.766097736091425e-01,1.299695248629841e-02
1.379017523498127e+00,8.716193072546897e-01,1.304194251516693e-02
1.383791107017632e+00,8.666569528399310e-01,1.308708828075141e-02
1.388581214692362e+00,8.617225557486868e-01,1.313239032214739e-02
1.393387903722053e+00,8.568159621680050e-01,1.317784918031657e-02
1.398211231504439e+00,8.519370190845946e-01,1.322346539809320e-02
1.403051255635942e+00,8.470855742812606e-01,1.326923952019061e-02
1.407908033912359e+00,8.422614763333507e-01,1.331517209320772e-02
1.412781624329553e+00,8.374645746052074e-01,1.336126366563551e-02
1.417672085084142e+00,8.326947192466325e-01,1.340751478786364e-02
1.422579474574200e+00,8.279517611893544e-01,1.345392601218696e-02
1.427503851399947e+00,8.232355521435083e-01,1.350049789281216e-02
1.432445274364455e+00,8.185459445941201e-01,1.354723098586435e-02
1.437403802474347e+00,8.138827917976055e-01,1.359412584939372e-02
1.442379494940502e+00,8.092459477782724e-01,1.364118304338218e-02
1.447372411178762e+00,8.046352673248299e-01,1.368840312975009e-02
1.452382610810644e+00,8.000506059869160e-01,1.373578667236292e-02
1.457410153664048e+00,7.954918200716236e-01,1.378333423703802e-02
1.462455099773972e+00,7.909587666400393e-01,1.383104639155137e-02
1.467517509383234e+00,7.864513035037950e-01,1.387892370564433e-02
1.472597442943184e+00,7.819692892216216e-01,1.392696675103049e-02
1.477694961114430e+00,7.775125830959189e-01,1.397517610140246e-02
1.482810124767563e+00,7.730810451693269e-01,1.402355233243875e-02
1.487942994983882e+00,7.686745362213169e-01,1.407209602181061e-02
1.493093633056124e+00,7.642929177647804e-01,1.412080774918896e-02
1.498262100489195e+00,7.599360520426356e-01,1.416968809625129e-02
1.503448459000906e+00,7.556038020244421e-01,1.421873764668862e-02
1.508652770522711e+00,7.512960314030213e-01,1.426795698621247e-02
1.513875097200442e+00,7.470126045910916e-01,1.431734670256185e-02
1.519115501395055e+00,7.427533867179097e-01,1.436690738551026e-02
1.524374045683375e+00,7.385182436259222e-01,1.441663962687276e-02
1.529650792858840e+00,7.343070418674300e-01,1.446654402051302e-02
1.534945805932253e+00,7.301196487012579e-01,1.451662116235045e-02
1.540259148132535e+00,7.259559320894393e-01,1.456687165036725e-02
1.545590882907479e+00,7.218157606939050e-01,1.461729608461559e-02
1.550941073924508e+00,7.176990038731890e-01,1.466789506722477e-02
1.556309785071433e+00,7.136055316791353e-01,1.471866920240843e-02
1.561697080457220e+00,7.095352148536282e-01,1.476961909647173e-02
1.567103024412754e+00,7.054879248253169e-01,1.482074535781861e-02
1.572527681491604e+00,7.014635337063628e-01,1.487204859695903e-02
1.577971116470800e+00,6.974619142891915e-01,1.492352942651632e-02
1.583433394351600e+00,6.934829400432575e-01,1.497518846123442e-02
1.588914580360271e+00,6.895264851118145e-01,1.502702631798529e-02
1.594414739948866e+00,6.855924243087034e-01,1.507904361577621e-02
1.599933938796006e+00,6.816806331151450e-01,1.513124097575723e-02
1.605472242807662e+00,6.777909876765466e-01,1.518361902122855e-02
1.611029718117945e+00,6.739233647993168e-01,1.523617837764798e-02
1.616606431089896e+00,6.700776419476900e-01,1.528891967263840e-02
1.622202448316277e+00,6.662536972405665e-01,1.534184353599527e-02
1.627817836620365e+00,6.624514094483598e-01,1.539495059969413e-02
1.633452663056751e+00,6.586706579898506e-01,1.544824149789814e-02
1.639106994912143e+00,6.549113229290605e-01,1.550171686696570e-02
1.644780899706166e+00,6.511732849721297e-01,1.555537734545800e-02
1.650474445192170e+00,6.474564254642053e-01,1.560922357414667e-02
1.656187699358040e+00,6.437606263863462e-01,1.566325619602141e-02
1.661920730427006e+00,6.400857703524327e-01,1.571747585629770e-02
1.667673606858457e+00,6.364317406060879e-01,1.577188320242446e-02
1.673446397348761e+00,6.327984210176139e-01,1.582647888409185e-02
1.679239170832085e+00,6.291856960809336e-01,1.588126355323894e-02
1.685051996481216e+00,6.255934509105493e-01,1.593623786406159e-02
1.690884943708389e+00,6.220215712385043e-01,1.599140247302016e-02
1.696738082166115e+00,6.184699434113630e-01,1.604675803884745e-02
1.702611481748014e+00,6.149384543871985e-01,1.610230522255648e-02
1.708505212589646e+00,6.114269917325907e-01,1.615804468744845e-02
1.714419345069353e+00,6.079354436196359e-01,1.621397709912061e-02
1.720353949809099e+00,6.044636988229690e-01,1.627010312547426e-02
1.726309097675307e+00,6.010116467167921e-01,1.632642343672265e-02
1.732284859779715e+00,5.975791772719228e-01,1.638293870539908e-02
1.738281307480217e+00,5.941661810528412e-01,1.643964960636484e-02
1.744298512381719e+00,5.907725492147606e-01,1.649655681681733e-02
1.750336546336995e+00,5.873981735006991e-01,1.655366101629812e-02
1.756395481447542e+00,5.840429462385687e-01,1.661096288670106e-02
1.762475390064441e+00,5.807067603382722e-01,1.666846311228044e-02
1.768576344789224e+00,5.773895092888124e-01,1.672616237965916e-02
1.774698418474739e+00,5.740910871554120e-01,1.678406137783691e-02
1.780841684226020e+00,5.708113885766444e-01,1.684216079819842e-02
1.787006215401160e+00,5.675503087615759e-01,1.690046133452169e-02
1.793192085612187e+00,5.643077434869178e-01,1.695896368298631e-02
1.799399368725945e+00,5.610835890941931e-01,1.701766854218174e-02
1.805628138864970e+00,5.578777424869089e-01,1.707657661311567e-02
1.811878470408383e+00,5.546901011277441e-01,1.713568859922237e-02
1.818150437992774e+00,5.515205630357456e-01,1.719500520637115e-02
1.824444116513093e+00,5.483690267835392e-01,1.725452714287470e-02
1.830759581123544e+00,5.452353914945454e-01,1.731425511949761e-02
1.837096907238486e+00,5.421195568402120e-01,1.737418984946484e-02
1.843456170533329e+00,5.390214230372564e-01,1.743433204847023e-02
1.849837446945441e+00,5.359408908449157e-01,1.749468243468508e-02
1.856240812675052e+00,5.328778615622128e-01,1.755524172876667e-02
1.862666344186168e+00,5.298322370252293e-01,1.761601065386690e-02
1.869114118207479e+00,5.268039196043917e-01,1.767698993564093e-02
1.875584211733279e+00,5.237928122017678e-01,1.773818030225584e-02
1.882076702024382e+00,5.207988182483757e-01,1.779958248439930e-02
1.888591666609051e+00,5.178218417015006e-01,1.786119721528833e-02
1.895129183283915e+00,5.148617870420253e-01,1.792302523067804e-02
1.901689330114906e+00,5.119185592717720e-01,1.798506726887043e-02
1.908272185438185e+00,5.089920639108513e-01,1.804732407072316e-02
1.914877827861082e+00,5.060822069950276e-01,1.810979637965846e-02
1.921506336263032e+00,5.031888950730907e-01,1.817248494167197e-02
1.928157789796517e+00,5.003120352042414e-01,1.823539050534165e-02
1.934832267888013e+00,4.974515349554871e-01,1.829851382183673e-02
1.941529850238938e+00,4.946073023990464e-01,1.836185564492668e-02
1.948250616826600e+00,4.917792461097686e-01,1.842541673099019e-02
1.954994647905159e+00,4.889672751625607e-01,1.848919783902422e-02
1.961762024006579e+00,4.861712991298259e-01,1.855319973065309e-02
1.968552825941592e+00,4.833912280789154e-01,1.861742317013750e-02
1.975367134800665e+00,4.806269725695869e-01,1.868186892438374e-02
1.982205031954964e+00,4.778784436514775e-01,1.874653776295279e-02
1.989066599057329e+00,4.751455528615859e-01,1.881143045806953e-02
1.995951918043249e+00,4.724282122217650e-01,1.887654778463197e-02
2.002861071131838e+00,4.697263342362269e-01,1.894189052022048e-02
2.009794140826819e+00,4.670398318890566e-01,1.900745944510711e-02
2.016751209917509e+00,4.643686186417379e-01,1.907325534226486e-02
2.023732361479806e+00,4.617126084306898e-01,1.913927899737708e-02
2.030737678877183e+00,4.590717156648130e-01,1.920553119884681e-02
2.037767245761681e+00,4.564458552230476e-01,1.927201273780622e-02
2.044821146074913e+00,4.538349424519416e-01,1.933872440812606e-02
2.051899464049058e+00,4.512388931632302e-01,1.940566700642510e-02
2.059002284207876e+00,4.486576236314230e-01,1.947284133207971e-02
2.066129691367711e+00,4.460910505914073e-01,1.954024818723334e-02
2.073281770638505e+00,4.435390912360579e-01,1.960788837680613e-02
2.080458607424816e+00,4.410016632138568e-01,1.967576270850452e-02
2.087660287426839e+00,4.384786846265261e-01,1.974387199283091e-02
2.094886896641424e+00,4.359700740266714e-01,1.981221704309330e-02
2.102138521363108e+00,4.334757504154334e-01,1.988079867541502e-02
2.109415248185143e+00,4.309956332401505e-01,1.994961770874450e-02
2.116717164000532e+00,4.285296423920345e-01,2.001867496486502e-02
2.124044356003063e+00,4.260776982038539e-01,2.008797126840451e-02
2.131396911688355e+00,4.236397214476286e-01,2.015750744684545e-02
2.138774918854899e+00,4.212156333323337e-01,2.022728433053469e-02
2.146178465605109e+00,4.188053555016173e-01,2.029730275269342e-02
2.153607640346370e+00,4.164088100315237e-01,2.036756354942709e-02
2.161062531792100e+00,4.140259194282318e-01,2.043806755973537e-02
2.168543228962803e+00,4.116566066257984e-01,2.050881562552223e-02
2.176049821187136e+00,4.093007949839179e-01,2.057980859160595e-02
2.183582398102976e+00,4.069584082856865e-01,2.065104730572922e-02
2.191141049658486e+00,4.046293707353806e-01,2.072253261856924e-02
2.198725866113195e+00,4.023136069562437e-01,2.079426538374795e-02
2.206336938039071e+00,4.000110419882831e-01,2.086624645784211e-02
2.213974356321604e+00,3.977216012860777e-01,2.093847670039364e-02
2.221638212160893e+00,3.954452107165964e-01,2.101095697391982e-02
2.229328597072734e+00,3.931817965570227e-01,2.108368814392360e-02
2.237045602889710e+00,3.909312854925966e-01,2.115667107890394e-02
2.244789321762294e+00,3.886936046144586e-01,2.122990665036619e-02
2.252559846159941e+00,3.864686814175095e-01,2.130339573283248e-02
2.260357268872200e+00,3.842564437982764e-01,2.137713920385218e-02
2.268181683009818e+00,3.820568200527919e-01,2.145113794401236e-02
2.276033182005851e+00,3.798697388744797e-01,2.152539283694832e-02
2.283911859616785e+00,3.776951293520531e-01,2.159990476935413e-02
2.291817809923647e+00,3.755329209674217e-01,2.167467463099325e-02
2.299751127333137e+00,3.733830435936087e-01,2.174970331470908e-02
2.307711906578750e+00,3.712454274926766e-01,2.182499171643574e-02
2.315700242721909e+00,3.691200033136652e-01,2.190054073520863e-02
2.323716231153100e+00,3.670067020905363e-01,2.197635127317528e-02
2.331759967593012e+00,3.649054552401301e-01,2.205242423560608e-02
2.339831548093677e+00,3.628161945601321e-01,2.212876053090506e-02
2.347931069039622e+00,3.607388522270458e-01,2.220536107062078e-02
2.356058627149014e+00,3.586733607941796e-01,2.228222676945722e-02
2.364214319474820e+00,3.566196531896405e-01,2.235935854528465e-02
2.372398243405963e+00,3.545776627143372e-01,2.243675731915064e-02
2.380610496668487e+00,3.525473230399951e-01,2.251442401529104e-02
2.388851177326722e+00,3.505285682071775e-01,2.259235956114105e-02
2.397120383784454e+00,3.485213326233203e-01,2.267056488734620e-02
2.405418214786105e+00,3.465255510607712e-01,2.274904092777357e-02
2.413744769417907e+00,3.445411586548427e-01,2.282778861952291e-02
2.422100147109089e+00,3.425680909018723e-01,2.290680890293778e-02
2.430484447633060e+00,3.406062836572914e-01,2.298610272161685e-02
2.438897771108604e+00,3.386556731337060e-01,2.306567102242511e-02
2.447340218001076e+00,3.367161958989844e-01,2.314551475550521e-02
2.455811889123599e+00,3.347877888743546e-01,2.322563487428881e-02
2.464312885638268e+00,3.328703893325117e-01,2.330603233550795e-02
2.472843309057360e+00,3.309639348957344e-01,2.338670809920645e-02
2.481403261244544e+00,3.290683635340094e-01,2.346766312875143e-02
2.489992844416102e+00,3.271836135631654e-01,2.354889839084479e-02
2.498612161142142e+00,3.253096236430176e-01,2.363041485553472e-02
2.507261314347830e+00,3.234463327755200e-01,2.371221349622734e-02
2.515940407314613e+00,3.215936803029263e-01,2.379429528969827e-02
2.524649543681457e+00,3.197516059059605e-01,2.387666121610435e-02
2.533388827446085e+00,3.179200496019963e-01,2.395931225899529e-02
2.542158362966211e+00,3.160989517432459e-01,2.404224940532544e-02
2.550958254960799e+00,3.142882530149569e-01,2.412547364546560e-02
2.559788608511301e+00,3.124878944336179e-01,2.420898597321478e-02
2.568649529062919e+00,3.106978173451740e-01,2.429278738581215e-02
2.577541122425862e+00,3.089179634232507e-01,2.437687888394887e-02
2.586463494776611e+00,3.071482746673852e-01,2.446126147178010e-02
