# modelo=quimera_pao4/3_beta_pope5.2
# epsilon=1.0
# C_k=1.5
# beta=5.2
# nu=0.005
# eta=1.880301546543e-02
# Re_nominal=200
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000e+00,1.461503e+00,1.880302e-02
1.003462e+00,1.452935e+00,1.886810e-02
1.006935e+00,1.444417e+00,1.893342e-02
1.010421e+00,1.435948e+00,1.899896e-02
1.013918e+00,1.427528e+00,1.906472e-02
1.017428e+00,1.419156e+00,1.913072e-02
1.020950e+00,1.410833e+00,1.919694e-02
1.024484e+00,1.402558e+00,1.926339e-02
1.028031e+00,1.394330e+00,1.933007e-02
1.031589e+00,1.386150e+00,1.939699e-02
1.035160e+00,1.378017e+00,1.946413e-02
1.038743e+00,1.369931e+00,1.953151e-02
1.042339e+00,1.361892e+00,1.959912e-02
1.045947e+00,1.353899e+00,1.966696e-02
1.049568e+00,1.345952e+00,1.973504e-02
1.053201e+00,1.338052e+00,1.980335e-02
1.056847e+00,1.330196e+00,1.987191e-02
1.060505e+00,1.322386e+00,1.994069e-02
1.064176e+00,1.314621e+00,2.000972e-02
1.067860e+00,1.306901e+00,2.007899e-02
1.071556e+00,1.299226e+00,2.014849e-02
1.075266e+00,1.291595e+00,2.021824e-02
1.078988e+00,1.284007e+00,2.028822e-02
1.082723e+00,1.276464e+00,2.035845e-02
1.086471e+00,1.268964e+00,2.042892e-02
1.090232e+00,1.261507e+00,2.049964e-02
1.094006e+00,1.254094e+00,2.057060e-02
1.097793e+00,1.246723e+00,2.064181e-02
1.101593e+00,1.239395e+00,2.071326e-02
1.105406e+00,1.232109e+00,2.078496e-02
1.109232e+00,1.224865e+00,2.085691e-02
1.113072e+00,1.217663e+00,2.092911e-02
1.116925e+00,1.210503e+00,2.100156e-02
1.120791e+00,1.203384e+00,2.107426e-02
1.124671e+00,1.196306e+00,2.114721e-02
1.128564e+00,1.189268e+00,2.122041e-02
1.132471e+00,1.182272e+00,2.129387e-02
1.136391e+00,1.175316e+00,2.136758e-02
1.140325e+00,1.168400e+00,2.144154e-02
1.144272e+00,1.161524e+00,2.151576e-02
1.148233e+00,1.154687e+00,2.159024e-02
1.152208e+00,1.147891e+00,2.166498e-02
1.156196e+00,1.141133e+00,2.173997e-02
1.160198e+00,1.134414e+00,2.181523e-02
1.164215e+00,1.127735e+00,2.189074e-02
1.168245e+00,1.121093e+00,2.196652e-02
1.172289e+00,1.114490e+00,2.204256e-02
1.176347e+00,1.107926e+00,2.211886e-02
1.180419e+00,1.101399e+00,2.219543e-02
1.184505e+00,1.094910e+00,2.227226e-02
1.188605e+00,1.088458e+00,2.234936e-02
1.192719e+00,1.082044e+00,2.242672e-02
1.196848e+00,1.075666e+00,2.250435e-02
1.200991e+00,1.069326e+00,2.258225e-02
1.205148e+00,1.063022e+00,2.266042e-02
1.209320e+00,1.056755e+00,2.273886e-02
1.213506e+00,1.050523e+00,2.281758e-02
1.217707e+00,1.044328e+00,2.289656e-02
1.221922e+00,1.038169e+00,2.297582e-02
1.226152e+00,1.032045e+00,2.305535e-02
1.230396e+00,1.025956e+00,2.313516e-02
1.234655e+00,1.019903e+00,2.321525e-02
1.238929e+00,1.013885e+00,2.329561e-02
1.243218e+00,1.007901e+00,2.337625e-02
1.247521e+00,1.001952e+00,2.345717e-02
1.251840e+00,9.960374e-01,2.353836e-02
1.256173e+00,9.901570e-01,2.361984e-02
1.260522e+00,9.843105e-01,2.370161e-02
1.264885e+00,9.784978e-01,2.378365e-02
1.269263e+00,9.727188e-01,2.386598e-02
1.273657e+00,9.669731e-01,2.394859e-02
1.278066e+00,9.612606e-01,2.403149e-02
1.282490e+00,9.555811e-01,2.411468e-02
1.286930e+00,9.499345e-01,2.419816e-02
1.291384e+00,9.443205e-01,2.428192e-02
1.295855e+00,9.387389e-01,2.436597e-02
1.300340e+00,9.331896e-01,2.445032e-02
1.304842e+00,9.276724e-01,2.453496e-02
1.309358e+00,9.221871e-01,2.461989e-02
1.313891e+00,9.167335e-01,2.470511e-02
1.318439e+00,9.113114e-01,2.479063e-02
1.323003e+00,9.059206e-01,2.487644e-02
1.327583e+00,9.005611e-01,2.496255e-02
1.332178e+00,8.952325e-01,2.504896e-02
1.336790e+00,8.899347e-01,2.513567e-02
1.341417e+00,8.846676e-01,2.522268e-02
1.346060e+00,8.794309e-01,2.530999e-02
1.350720e+00,8.742245e-01,2.539761e-02
1.355395e+00,8.690482e-01,2.548552e-02
1.360087e+00,8.639018e-01,2.557374e-02
1.364795e+00,8.587852e-01,2.566227e-02
1.369520e+00,8.536982e-01,2.575110e-02
1.374260e+00,8.486406e-01,2.584024e-02
1.379018e+00,8.436122e-01,2.592969e-02
1.383791e+00,8.386130e-01,2.601945e-02
1.388581e+00,8.336426e-01,2.610951e-02
1.393388e+00,8.287010e-01,2.619989e-02
1.398211e+00,8.237880e-01,2.629059e-02
1.403051e+00,8.189034e-01,2.638159e-02
1.407908e+00,8.140471e-01,2.647292e-02
1.412782e+00,8.092189e-01,2.656455e-02
1.417672e+00,8.044186e-01,2.665651e-02
1.422579e+00,7.996460e-01,2.674878e-02
1.427504e+00,7.949011e-01,2.684138e-02
1.432445e+00,7.901837e-01,2.693429e-02
1.437404e+00,7.854935e-01,2.702753e-02
1.442379e+00,7.808305e-01,2.712108e-02
1.447372e+00,7.761944e-01,2.721497e-02
1.452383e+00,7.715852e-01,2.730917e-02
1.457410e+00,7.670027e-01,2.740371e-02
1.462455e+00,7.624466e-01,2.749857e-02
1.467518e+00,7.579170e-01,2.759375e-02
1.472597e+00,7.534136e-01,2.768927e-02
1.477695e+00,7.489362e-01,2.778512e-02
1.482810e+00,7.444847e-01,2.788130e-02
1.487943e+00,7.400590e-01,2.797782e-02
1.493094e+00,7.356590e-01,2.807466e-02
1.498262e+00,7.312844e-01,2.817185e-02
1.503448e+00,7.269351e-01,2.826936e-02
1.508653e+00,7.226110e-01,2.836722e-02
1.513875e+00,7.183120e-01,2.846542e-02
1.519116e+00,7.140378e-01,2.856395e-02
1.524374e+00,7.097884e-01,2.866283e-02
1.529651e+00,7.055636e-01,2.876205e-02
1.534946e+00,7.013633e-01,2.886161e-02
1.540259e+00,6.971872e-01,2.896152e-02
1.545591e+00,6.930354e-01,2.906177e-02
1.550941e+00,6.889076e-01,2.916237e-02
1.556310e+00,6.848037e-01,2.926332e-02
1.561697e+00,6.807236e-01,2.936461e-02
1.567103e+00,6.766671e-01,2.946626e-02
