# modelo=pao_beta2.25_mu0.033
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.005
# eta=1.880301546543e-02
# Re_nominal=200
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.483219566916850e+00,1.880301546543197e-02
1.003461582929995e+00,1.474456986180702e+00,1.886810366279954e-02
1.006935148416371e+00,1.465745821441807e+00,1.893341716836006e-02
1.010420737937741e+00,1.457085771485194e+00,1.899895676203653e-02
1.013918393116299e+00,1.448476536860043e+00,1.906472322645171e-02
1.017428155718318e+00,1.439917819869355e+00,1.913071734693746e-02
1.020950067654649e+00,1.431409324559676e+00,1.919693991154418e-02
1.024484170981219e+00,1.422950756710897e+00,1.926339171105012e-02
1.028030507899538e+00,1.414541823826089e+00,1.933007353897090e-02
1.031589120757197e+00,1.406182235121425e+00,1.939698619156894e-02
1.035160052048379e+00,1.397871701516140e+00,1.946413046786303e-02
1.038743344414362e+00,1.389609935622560e+00,1.953150716963777e-02
1.042339040644032e+00,1.381396651736184e+00,1.959911710145326e-02
1.045947183674393e+00,1.373231565825833e+00,1.966696107065462e-02
1.049567816591076e+00,1.365114395523845e+00,1.973503988738167e-02
1.053200982628860e+00,1.357044860116333e+00,1.980335436457861e-02
1.056846725172182e+00,1.349022680533506e+00,1.987190531800367e-02
1.060505087755659e+00,1.341047579340034e+00,1.994069356623894e-02
1.064176114064607e+00,1.333119280725482e+00,2.000971993070010e-02
1.067859847935561e+00,1.325237510494788e+00,2.007898523564618e-02
1.071556333356802e+00,1.317401996058808e+00,2.014849030818952e-02
1.075265614468877e+00,1.309612466424910e+00,2.021823597830551e-02
1.078987735565133e+00,1.301868652187625e+00,2.028822307884262e-02
1.082722741092240e+00,1.294170285519349e+00,2.035845244553227e-02
1.086470675650722e+00,1.286517100161108e+00,2.042892491699884e-02
1.090231583995494e+00,1.278908831413367e+00,2.049964133476967e-02
1.094005511036394e+00,1.271345216126901e+00,2.057060254328513e-02
1.097792501838718e+00,1.263825992693712e+00,2.064180938990867e-02
1.101592601623760e+00,1.256350901038008e+00,2.071326272493699e-02
1.105405855769349e+00,1.248919682607227e+00,2.078496340161013e-02
1.109232309810396e+00,1.241532080363118e+00,2.085691227612171e-02
1.113072009439435e+00,1.234187838772870e+00,2.092911020762914e-02
1.116925000507166e+00,1.226886703800303e+00,2.100155805826385e-02
1.120791329023006e+00,1.219628422897091e+00,2.107425669314163e-02
1.124671041155638e+00,1.212412744994064e+00,2.114720698037294e-02
1.128564183233562e+00,1.205239420492532e+00,2.122040979107327e-02
1.132470801745647e+00,1.198108201255683e+00,2.129386599937354e-02
1.136390943341687e+00,1.191018840600017e+00,2.136757648243057e-02
1.140324654832960e+00,1.183971093286836e+00,2.144154212043751e-02
1.144271983192782e+00,1.176964715513785e+00,2.151576379663438e-02
1.148232975557073e+00,1.169999464906438e+00,2.159024239731862e-02
1.152207679224919e+00,1.163075100509936e+00,2.166497881185563e-02
1.156196141659133e+00,1.156191382780676e+00,2.173997393268945e-02
1.160198410486826e+00,1.149348073578041e+00,2.181522865535338e-02
1.164214533499974e+00,1.142544936156192e+00,2.189074387848068e-02
1.168244558655990e+00,1.135781735155893e+00,2.196652050381532e-02
1.172288534078293e+00,1.129058236596392e+00,2.204255943622271e-02
1.176346508056887e+00,1.122374207867350e+00,2.211886158370054e-02
1.180418529048936e+00,1.115729417720817e+00,2.219542785738960e-02
1.184504645679341e+00,1.109123636263249e+00,2.227225917158467e-02
1.188604906741324e+00,1.102556634947578e+00,2.234935644374545e-02
1.192719361197008e+00,1.096028186565331e+00,2.242672059450749e-02
1.196848058178002e+00,1.089538065238783e+00,2.250435254769320e-02
1.200991046985989e+00,1.083086046413172e+00,2.258225323032288e-02
1.205148377093312e+00,1.076671906848944e+00,2.266042357262579e-02
1.209320098143569e+00,1.070295424614057e+00,2.273886450805124e-02
1.213506259952203e+00,1.063956379076320e+00,2.281757697327978e-02
1.217706912507095e+00,1.057654550895783e+00,2.289656190823433e-02
1.221922105969167e+00,1.051389722017168e+00,2.297582025609144e-02
1.226151890672973e+00,1.045161675662346e+00,2.305535296329256e-02
1.230396317127308e+00,1.038970196322857e+00,2.313516097955530e-02
1.234655436015804e+00,1.032815069752477e+00,2.321524525788481e-02
1.238929298197542e+00,1.026696082959823e+00,2.329560675458515e-02
1.243217954707653e+00,1.020613024201007e+00,2.337624642927070e-02
1.247521456757932e+00,1.014565682972328e+00,2.345716524487762e-02
1.251839855737447e+00,1.008553850003012e+00,2.353836416767535e-02
1.256173203213156e+00,1.002577317247987e+00,2.361984416727818e-02
1.260521550930515e+00,9.966358778807117e-01,2.370160621665677e-02
1.264884950814107e+00,9.907293262860337e-01,2.378365129214981e-02
1.269263454968252e+00,9.848574580530974e-01,2.386598037347567e-02
1.273657115677637e+00,9.790200699682923e-01,2.394859444374408e-02
1.278065985407933e+00,9.732169600082400e-01,2.403149448946791e-02
1.282490116806428e+00,9.674479273328257e-01,2.411468150057492e-02
1.286929562702652e+00,9.617127722782671e-01,2.419815647041958e-02
1.291384376109010e+00,9.560112963502260e-01,2.428192039579493e-02
1.295854610221411e+00,9.503433022169610e-01,2.436597427694450e-02
1.300340318419908e+00,9.447085937025165e-01,2.445031911757427e-02
1.304841554269335e+00,9.391069757799568e-01,2.453495592486460e-02
1.309358371519941e+00,9.335382545646368e-01,2.461988570948228e-02
1.313890824108041e+00,9.280022373075091e-01,2.470510948559265e-02
1.318438966156650e+00,9.224987323884791e-01,2.479062827087163e-02
1.323002851976138e+00,9.170275493097891e-01,2.487644308651793e-02
1.327582536064873e+00,9.115884986894481e-01,2.496255495726521e-02
1.332178073109875e+00,9.061813922546973e-01,2.504896491139434e-02
1.336789517987465e+00,9.008060428355129e-01,2.513567398074566e-02
1.341416925763927e+00,8.954622643581489e-01,2.522268320073132e-02
1.346060351696158e+00,8.901498718387181e-01,2.530999361034765e-02
1.350719851232332e+00,8.848686813768084e-01,2.539760625218751e-02
1.355395480012563e+00,8.796185101491383e-01,2.548552217245281e-02
1.360087293869567e+00,8.743991764032485e-01,2.557374242096698e-02
1.364795348829329e+00,8.692104994512309e-01,2.566226805118748e-02
1.369519701111772e+00,8.640522996634958e-01,2.575110012021842e-02
1.374260407131433e+00,8.589243984625713e-01,2.584023968882316e-02
1.379017523498127e+00,8.538266183169452e-01,2.592968782143697e-02
1.383791107017632e+00,8.487587827349368e-01,2.601944558617975e-02
1.388581214692362e+00,8.437207162586091e-01,2.610951405486880e-02
1.393387903722053e+00,8.387122444577146e-01,2.619989430303160e-02
1.398211231504439e+00,8.337331939236764e-01,2.629058740991864e-02
1.403051255635942e+00,8.287833922636050e-01,2.638159445851635e-02
1.407908033912359e+00,8.238626680943518e-01,2.647291653556000e-02
1.412781624329553e+00,8.189708510365933e-01,2.656455473154668e-02
1.417672085084142e+00,8.141077717089553e-01,2.665651014074831e-02
1.422579474574200e+00,8.092732617221657e-01,2.674878386122476e-02
1.427503851399947e+00,8.044671536732468e-01,2.684137699483690e-02
1.432445274364455e+00,7.996892811397386e-01,2.693429064725979e-02
1.437403802474347e+00,7.949394786739564e-01,2.702752592799586e-02
1.442379494940502e+00,7.902175817972829e-01,2.712108395038821e-02
1.447372411178762e+00,7.855234269944918e-01,2.721496583163383e-02
1.452382610810644e+00,7.808568517081080e-01,2.730917269279700e-02
1.457410153664048e+00,7.762176943327970e-01,2.740370565882267e-02
1.462455099773972e+00,7.716057942097897e-01,2.749856585854986e-02
1.467517509383234e+00,7.670209916213389e-01,2.759375442472516e-02
1.472597442943184e+00,7.624631277852094e-01,2.768927249401626e-02
1.477694961114430e+00,7.579320448491980e-01,2.778512120702551e-02
1.482810124767563e+00,7.534275858856871e-01,2.788130170830359e-02
1.487942994983882e+00,7.489495948862320e-01,2.797781514636309e-02
1.493093633056124e+00,7.444979167561755e-01,2.807466267369230e-02
1.498262100489195e+00,7.400723973092977e-01,2.817184544676892e-02
1.503448459000906e+00,7.356728832624974e-01,2.826936462607390e-02
1.508652770522711e+00,7.312992222305001e-01,2.836722137610532e-02
1.513875097200442e+00,7.269512627206028e-01,2.846541686539223e-02
1.519115501395055e+00,7.226288541274459e-01,2.856395226650867e-02
1.524374045683375e+00,7.183318467278166e-01,2.866282875608760e-02
1.529650792858840e+00,7.140600916754830e-01,2.876204751483504e-02
1.534945805932253e+00,7.098134409960584e-01,2.886160972754409e-02
1.540259148132535e+00,7.055917475818954e-01,2.896151658310913e-02
1.545590882907479e+00,7.013948651870103e-01,2.906176927453999e-02
1.550941073924508e+00,6.972226484220371e-01,2.916236899897618e-02
1.556309785071433e+00,6.930749527492097e-01,2.926331695770125e-02
1.561697080457220e+00,6.889516344773773e-01,2.936461435615706e-02
1.567103024412754e+00,6.848525507570435e-01,2.946626240395822e-02
1.572527681491604e+00,6.807775595754397e-01,2.956826231490651e-02
1.577971116470800e+00,6.767265197516237e-01,2.967061530700540e-02
1.583433394351600e+00,6.726992909316087e-01,2.977332260247457e-02
1.588914580360271e+00,6.686957335835206e-01,2.987638542776453e-02
1.594414739948866e+00,6.647157089927834e-01,2.997980501357123e-02
1.599933938796006e+00,6.607590792573331e-01,3.008358259485078e-02
1.605472242807662e+00,6.568257072828588e-01,3.018771941083421e-02
1.611029718117945e+00,6.529154567780738e-01,3.029221670504223e-02
1.616606431089896e+00,6.490281922500105e-01,3.039707572530010e-02
1.622202448316277e+00,6.451637789993475e-01,3.050229772375257e-02
1.627817836620365e+00,6.413220831157613e-01,3.060788395687873e-02
1.633452663056751e+00,6.375029714733050e-01,3.071383568550713e-02
1.639106994912143e+00,6.337063117258149e-01,3.082015417483075e-02
1.644780899706166e+00,6.299319723023451e-01,3.092684069442215e-02
1.650474445192170e+00,6.261798224026260e-01,3.103389651824863e-02
1.656187699358040e+00,6.224497319925525e-01,3.114132292468743e-02
1.661920730427006e+00,6.187415717996961e-01,3.124912119654099e-02
1.667673606858457e+00,6.150552133088452e-01,3.135729262105227e-02
1.673446397348761e+00,6.113905287575699e-01,3.146583848992016e-02
