# modelo=pao_beta2.25_logper_amp0.02_w2
# epsilon=1.0
# C_k=1.5
# beta=2.25
# nu=0.0005
# eta=3.343701524882e-03
# Re_nominal=2000
# k_range=[1.000000e+00,1.000000e+03]
# n_points=2000
k,E(k),k_eta
1.000000000000000e+00,1.528279717840151e+00,3.343701524882110e-03
1.003461582929995e+00,1.519494523697319e+00,3.355276025003640e-03
1.006935148416371e+00,1.510758379407889e+00,3.366890591217213e-03
1.010420737937741e+00,1.502071019628743e+00,3.378545362214932e-03
1.013918393116299e+00,1.493432180465617e+00,3.390240477168988e-03
1.017428155718318e+00,1.484841599464331e+00,3.401976075733334e-03
1.020950067654649e+00,1.476299015602076e+00,3.413752298045344e-03
1.024484170981219e+00,1.467804169278766e+00,3.425569284727488e-03
1.028030507899538e+00,1.459356802308448e+00,3.437427176889015e-03
1.031589120757197e+00,1.450956657910773e+00,3.449326116127635e-03
1.035160052048379e+00,1.442603480702530e+00,3.461266244531208e-03
1.038743344414362e+00,1.434297016689233e+00,3.473247704679445e-03
1.042339040644032e+00,1.426037013256775e+00,3.485270639645606e-03
1.045947183674393e+00,1.417823219163131e+00,3.497335192998216e-03
1.049567816591076e+00,1.409655384530130e+00,3.509441508802769e-03
1.053200982628860e+00,1.401533260835273e+00,3.521589731623457e-03
1.056846725172182e+00,1.393456600903622e+00,3.533780006524889e-03
1.060505087755659e+00,1.385425158899729e+00,3.546012479073833e-03
1.064176114064607e+00,1.377438690319640e+00,3.558287295340944e-03
1.067859847935561e+00,1.369496951982937e+00,3.570604601902514e-03
1.071556333356802e+00,1.361599702024850e+00,3.582964545842220e-03
1.075265614468877e+00,1.353746699888419e+00,3.595367274752885e-03
1.078987735565133e+00,1.345937706316704e+00,3.607812936738231e-03
1.082722741092240e+00,1.338172483345062e+00,3.620301680414659e-03
1.086470675650722e+00,1.330450794293467e+00,3.632833654913014e-03
1.090231583995494e+00,1.322772403758892e+00,3.645409009880372e-03
1.094005511036394e+00,1.315137077607739e+00,3.658027895481824e-03
1.097792501838718e+00,1.307544582968321e+00,3.670690462402269e-03
1.101592601623760e+00,1.299994688223401e+00,3.683396861848216e-03
1.105405855769349e+00,1.292487163002781e+00,3.696147245549586e-03
1.109232309810396e+00,1.285021778175940e+00,3.708941765761528e-03
1.113072009439435e+00,1.277598305844724e+00,3.721780575266234e-03
1.116925000507166e+00,1.270216519336096e+00,3.734663827374761e-03
1.120791329023006e+00,1.262876193194920e+00,3.747591675928871e-03
1.124671041155638e+00,1.255577103176807e+00,3.760564275302857e-03
1.128564183233562e+00,1.248319026241008e+00,3.773581780405395e-03
1.132470801745647e+00,1.241101740543359e+00,3.786644346681385e-03
1.136390943341687e+00,1.233925025429264e+00,3.799752130113819e-03
1.140324654832960e+00,1.226788661426743e+00,3.812905287225633e-03
1.144271983192782e+00,1.219692430239514e+00,3.826103975081581e-03
1.148232975557073e+00,1.212636114740131e+00,3.839348351290109e-03
1.152207679224919e+00,1.205619498963168e+00,3.852638574005238e-03
1.156196141659133e+00,1.198642368098447e+00,3.865974801928454e-03
1.160198410486826e+00,1.191704508484317e+00,3.879357194310600e-03
1.164214533499974e+00,1.184805707600979e+00,3.892785910953778e-03
1.168244558655990e+00,1.177945754063851e+00,3.906261112213261e-03
1.172288534078293e+00,1.171124437616988e+00,3.919782958999401e-03
1.176346508056887e+00,1.164341549126542e+00,3.933351612779558e-03
1.180418529048936e+00,1.157596880574268e+00,3.946967235580024e-03
1.184504645679341e+00,1.150890225051074e+00,3.960629989987956e-03
1.188604906741324e+00,1.144221376750615e+00,3.974340039153324e-03
1.192719361197008e+00,1.137590130962936e+00,3.988097546790853e-03
1.196848058178002e+00,1.130996284068153e+00,4.001902677181979e-03
1.200991046985989e+00,1.124439633530178e+00,4.015755595176813e-03
1.205148377093312e+00,1.117919977890490e+00,4.029656466196108e-03
1.209320098143569e+00,1.111437116761948e+00,4.043605456233237e-03
